Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
ACE SUSHI AT ALB6704|2955 ALPINE BLVD, ALPINE, CA 91901|03-Feb-2017|100|A|03-Feb-2017|Routine|100|No major violations observed|No minor violations observed|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960051086
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|14-Feb-2017|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|14-Feb-2017|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|14-Feb-2017|Routine|95|No major violations observed|['Food Contact Surfaces', 'Fruits and Vegetables Washed', 'Holding Temperatures']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|14-Feb-2017|Routine|Complete|No major violations observed|['Proper Handwashing Facilities', 'Toilet Facilities']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|18-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|18-Mar-2016|Routine|96|No major violations observed|['Hot and Cold Water', 'Proper Handwashing Facilities']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|18-Mar-2016|Routine|Complete|No major violations observed|No minor violations observed|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|03-Mar-2015|Routine|98|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
ALBERTSONS 704|2955 ALPINE BLVD, ALPINE, CA 91901|14-Feb-2017|NULL|NULL|03-Mar-2015|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|Alpine|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905944748
