Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #32825A|5188 BONITA RD, BONITA, CA 91902|01-May-2017|90|A|01-May-2017|Routine|90|No major violations observed|['Food Contact Surfaces', 'Holding Temperatures', 'Hot and Cold Water', 'Plumbing', 'Proper Handwashing Facilities', 'Thermometers']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898503113
7-ELEVEN #32825A|5188 BONITA RD, BONITA, CA 91902|01-May-2017|90|A|12-May-2016|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Food Contact Surfaces']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898503113
7-ELEVEN #32825A|5188 BONITA RD, BONITA, CA 91902|01-May-2017|90|A|20-May-2015|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898503113
7-ELEVEN #32825A|5188 BONITA RD, BONITA, CA 91902|01-May-2017|90|A|20-May-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898503113
ACE SUSHI AT VONS 2071|2250 OTAY LAKES RD, BONITA, CA 91902|18-Nov-2016|100|A|18-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211919918985
ACE SUSHI AT VONS 2071|2250 OTAY LAKES RD, BONITA, CA 91902|18-Nov-2016|100|A|18-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211919918985
ACE SUSHI AT VONS 2071|2250 OTAY LAKES RD, BONITA, CA 91902|18-Nov-2016|100|A|07-Jan-2016|Routine|98|No major violations observed|['Food Handler Training']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211919918985
ACE SUSHI AT VONS 2071|2250 OTAY LAKES RD, BONITA, CA 91902|18-Nov-2016|100|A|07-Jan-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211919918985
ACE SUSHI AT VONS 2071|2250 OTAY LAKES RD, BONITA, CA 91902|18-Nov-2016|100|A|13-Jul-2015|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Handler Training', 'Holding Temperatures']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211919918985
ALL STARS SPORTS BAR AND GRILL|4076 BONITA RD, BONITA, CA 91902-1325|27-Oct-2016|92|A|27-Oct-2016|Routine|92|No major violations observed|['Food Separated and Protected', 'Food Contact Surfaces', 'Garbage and Refuse', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211966205156
ALL STARS SPORTS BAR AND GRILL|4076 BONITA RD, BONITA, CA 91902-1325|27-Oct-2016|92|A|27-Oct-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211966205156
ALL STARS SPORTS BAR AND GRILL|4076 BONITA RD, BONITA, CA 91902-1325|27-Oct-2016|92|A|24-Jun-2016|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Separated and Protected', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities', 'Plumbing', 'Vermin']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211966205156
ALL STARS SPORTS BAR AND GRILL|4076 BONITA RD, BONITA, CA 91902-1325|27-Oct-2016|92|A|29-Sep-2015|Routine|90|No major violations observed|['Food Contact Surfaces', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Thermometers', 'Vermin']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211966205156
BASKIN ROBBINS|4344 BONITA RD, BONITA, CA 91902|23-Sep-2016|99|A|23-Sep-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898556223
BASKIN ROBBINS|4344 BONITA RD, BONITA, CA 91902|23-Sep-2016|99|A|05-Jan-2016|Routine|100|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898556223
BASKIN ROBBINS|4344 BONITA RD, BONITA, CA 91902|23-Sep-2016|99|A|26-Mar-2015|Routine|96|No major violations observed|['Grade Card, Last Inspection Report, Permit Available', 'Protection From Contamination', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898556223
BONITA ARCO|4498 BONITA RD, BONITA, CA 91902|30-Sep-2016|100|A|30-Sep-2016|Routine|100|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940691618
BONITA ARCO|4498 BONITA RD, BONITA, CA 91902|30-Sep-2016|100|A|25-Apr-2016|Routine|96|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Plumbing', 'Storage of Toxic Substances']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940691618
BONITA ARCO|4498 BONITA RD, BONITA, CA 91902|30-Sep-2016|100|A|06-Aug-2015|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Food Safety Certification', 'Fruits and Vegetables Washed', 'Proper Handwashing Facilities']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940691618
BONITA DONUTS|4414 BONITA RD, BONITA, CA 91902|27-Sep-2016|95|A|27-Sep-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Separated and Protected', 'Vermin', 'Warewashing Facilities Maintained']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898363357
BONITA DONUTS|4414 BONITA RD, BONITA, CA 91902|27-Sep-2016|95|A|27-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898363357
BONITA DONUTS|4414 BONITA RD, BONITA, CA 91902|27-Sep-2016|95|A|19-Apr-2016|Routine|94|No major violations observed|['Food Handler Training', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances', 'Vermin']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898363357
BONITA DONUTS|4414 BONITA RD, BONITA, CA 91902|27-Sep-2016|95|A|06-Aug-2015|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Food Contact Surfaces', 'Food Storage', 'Nonfood Contact Surfaces Clean', 'Vermin']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898363357
BONITA FARMERS MARKET|5080 BONITA RD B3, BONITA, CA 91902|07-Feb-2017|98|A|07-Feb-2017|Routine|98|No major violations observed|['Food Labeling', 'Food Separated and Protected']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964055447
BONITA FARMERS MARKET|5080 BONITA RD B3, BONITA, CA 91902|07-Feb-2017|98|A|07-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964055447
BONITA FARMERS MARKET|5080 BONITA RD B3, BONITA, CA 91902|07-Feb-2017|98|A|06-Jan-2016|Routine|93|No major violations observed|['Food Contact Surfaces', 'Food Handler Training', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964055447
BONITA FARMERS MARKET|5080 BONITA RD B3, BONITA, CA 91902|07-Feb-2017|98|A|22-Jul-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Bonita|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964055447
