Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
BONSALL DONUT HOUSE|5523 MISSION RD, BONSALL, CA 92003|09-Feb-2017|99|A|09-Feb-2017|Routine|99|No major violations observed|['Plumbing']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898220454
BONSALL DONUT HOUSE|5523 MISSION RD, BONSALL, CA 92003|09-Feb-2017|99|A|04-Aug-2016|Routine|97|No major violations observed|['Plumbing', 'Proper Handwashing Facilities']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898220454
BONSALL DONUT HOUSE|5523 MISSION RD, BONSALL, CA 92003|09-Feb-2017|99|A|07-Mar-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898220454
BONSALL ELEMENTARY SCHOOL|31555 OLD RIVER RD, BONSALL, CA 92003|24-Apr-2017|100|A|24-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533976
BONSALL ELEMENTARY SCHOOL|31555 OLD RIVER RD, BONSALL, CA 92003|24-Apr-2017|100|A|29-Sep-2016|Routine|98|No major violations observed|['Holding Temperatures']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533976
BONSALL ELEMENTARY SCHOOL|31555 OLD RIVER RD, BONSALL, CA 92003|24-Apr-2017|100|A|27-Apr-2016|Routine|100|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533976
BONSALL FINE WINE AND SPIRITS|5260 S MISSION RD, BONSALL, CA 92003-3614|25-Jan-2017|NULL|NULL|25-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899383345
BONSALL FINE WINE AND SPIRITS|5260 S MISSION RD, BONSALL, CA 92003-3614|25-Jan-2017|NULL|NULL|17-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899383345
BONSALL FINE WINE AND SPIRITS|5260 S MISSION RD, BONSALL, CA 92003-3614|25-Jan-2017|NULL|NULL|04-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899383345
BRAIN FREEZE FROYO BAR|5260 S MISSION RD, BONSALL, CA 92003-3614|06-Dec-2016|100|A|06-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211937741644
BRAIN FREEZE FROYO BAR|5260 S MISSION RD, BONSALL, CA 92003-3614|06-Dec-2016|100|A|06-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211937741644
BRAIN FREEZE FROYO BAR|5260 S MISSION RD, BONSALL, CA 92003-3614|06-Dec-2016|100|A|20-Apr-2016|Routine|95|No major violations observed|['Food Safety Certification', 'Food Handler Training', 'Food Storage']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211937741644
BRAIN FREEZE FROYO BAR|5260 S MISSION RD, BONSALL, CA 92003-3614|06-Dec-2016|100|A|07-Mar-2016|Routine|99|No major violations observed|['Plumbing']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211937741644
CORTEZ MEXICAN FOOD|5517 MISSION RD, BONSALL, CA 92003|01-Jun-2017|97|A|01-Jun-2017|Routine|97|No major violations observed|['Food Handler Training', 'Food Storage']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899537849
CORTEZ MEXICAN FOOD|5517 MISSION RD, BONSALL, CA 92003|01-Jun-2017|97|A|25-Aug-2016|Routine|96|No major violations observed|['Hot and Cold Water', 'Proper Handwashing Facilities']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899537849
CORTEZ MEXICAN FOOD|5517 MISSION RD, BONSALL, CA 92003|01-Jun-2017|97|A|16-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899537849
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|14-Jun-2017|Routine|100|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|14-Jun-2017|Routine|95|No major violations observed|['Floors, Walls, and Ceilings', 'Garbage and Refuse', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Ventilation and Lighting']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|14-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|14-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|06-Sep-2016|Routine|95|['Impoundment']|['Food Storage', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Thermometers']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|06-Sep-2016|Routine|94|No major violations observed|['Floors, Walls, and Ceilings', 'Food Storage', 'Plumbing', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Vermin']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|07-Mar-2016|Routine|98|No major violations observed|['Food Storage', 'Nonfood Contact Surfaces Clean']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
DANIELS MARKET|5260 S MISSION RD, BONSALL, CA 92003-3614|14-Jun-2017|NULL|NULL|07-Mar-2016|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Plumbing', 'Storage of Toxic Substances', 'Ventilation and Lighting', 'Wiping Cloths']|Bonsall|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899515547
