Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
AMERICAN LEGION #853|4515 BORREGO SPRINGS RD, BORREGO SPRINGS, CA 92004|19-Jun-2017|100|A|19-Jun-2017|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549024
AMERICAN LEGION #853|4515 BORREGO SPRINGS RD, BORREGO SPRINGS, CA 92004|19-Jun-2017|100|A|29-Aug-2016|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549024
AMERICAN LEGION #853|4515 BORREGO SPRINGS RD, BORREGO SPRINGS, CA 92004|19-Jun-2017|100|A|09-Oct-2015|Routine|99|No major violations observed|['Equipment and Utensil Storage, Use']|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549024
BIG HORN RESTAURANT|221 PALM CANYON DR, BORREGO SPRINGS, CA 92004|30-May-2017|100|A|30-May-2017|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905499414
BIG HORN RESTAURANT|221 PALM CANYON DR, BORREGO SPRINGS, CA 92004|30-May-2017|100|A|04-Oct-2016|Routine|98|No major violations observed|['Vermin']|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905499414
BIG HORN RESTAURANT|221 PALM CANYON DR, BORREGO SPRINGS, CA 92004|30-May-2017|100|A|01-Feb-2016|Routine|96|No major violations observed|['Proper Handwashing Facilities', 'Ventilation and Lighting', 'Wiping Cloths']|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211905499414
BIGHORN FUDGE CO|590 PALM CANYON DR, BORREGO SPRINGS, CA 92004|27-Apr-2017|NULL|NULL|27-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899192174
BIGHORN FUDGE CO|590 PALM CANYON DR, BORREGO SPRINGS, CA 92004|27-Apr-2017|NULL|NULL|20-Apr-2017|Routine|96|No major violations observed|['Food Safety Certification', 'Holding Temperatures']|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899192174
BIGHORN FUDGE CO|590 PALM CANYON DR, BORREGO SPRINGS, CA 92004|27-Apr-2017|NULL|NULL|13-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899192174
BORREGO OUTFITTERS|579 PALM CANYON DR, BORREGO SPRINGS, CA 92004|09-Dec-2016|100|NULL|09-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760898
BORREGO OUTFITTERS|579 PALM CANYON DR, BORREGO SPRINGS, CA 92004|09-Dec-2016|100|NULL|21-Sep-2015|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760898
BORREGO OUTFITTERS|579 PALM CANYON DR, BORREGO SPRINGS, CA 92004|09-Dec-2016|100|NULL|12-May-2014|Routine|100|No major violations observed|No minor violations observed|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760898
BORREGO SCHOOL|1315 PALM CANYON DR, BORREGO SPRINGS, CA 92004|14-Mar-2017|99|A|14-Mar-2017|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Borrego Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899131084
