Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
BOULEVARD LIQUOR AND DELI|39335 OLD HY 80, BOULEVARD, CA 91905|17-May-2017|100|A|17-May-2017|Routine|100|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936851009
BOULEVARD LIQUOR AND DELI|39335 OLD HY 80, BOULEVARD, CA 91905|17-May-2017|100|A|17-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936851009
BOULEVARD LIQUOR AND DELI|39335 OLD HY 80, BOULEVARD, CA 91905|17-May-2017|100|A|23-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936851009
BOULEVARD LIQUOR AND DELI|39335 OLD HY 80, BOULEVARD, CA 91905|17-May-2017|100|A|26-Jan-2017|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936851009
CLOVER FLAT ELEMENTARY SCHOOL|39639 OLD HWY, BOULEVARD, CA 91905|20-Mar-2017|100|A|20-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898985398
CLOVER FLAT ELEMENTARY SCHOOL|39639 OLD HWY, BOULEVARD, CA 91905|20-Mar-2017|100|A|27-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898985398
CLOVER FLAT ELEMENTARY SCHOOL|39639 OLD HWY, BOULEVARD, CA 91905|20-Mar-2017|100|A|29-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898985398
LIVE OAK SPRINGS MARKET|37820 OLD HY 80, BOULEVARD, CA 91905|12-Jun-2017|NULL|NULL|12-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942900724
LIVE OAK SPRINGS MARKET|37820 OLD HY 80, BOULEVARD, CA 91905|12-Jun-2017|NULL|NULL|05-Jun-2017|Routine|93|No major violations observed|['Food Safety Certification', 'Food Handler Training', 'Hot and Cold Water', 'Wiping Cloths']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942900724
MOUNTAIN TOP MARKET AND GAS|39710 OLD HIGHWAY 80, BOULEVARD, CA 91905|19-Dec-2016|95|NULL|19-Dec-2016|Routine|95|No major violations observed|['Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Vermin']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625855
MOUNTAIN TOP MARKET AND GAS|39710 OLD HIGHWAY 80, BOULEVARD, CA 91905|19-Dec-2016|95|NULL|01-Sep-2015|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625855
MOUNTAIN TOP MARKET AND GAS|39710 OLD HIGHWAY 80, BOULEVARD, CA 91905|19-Dec-2016|95|NULL|23-May-2014|Routine|92|No major violations observed|['Floors, Walls, and Ceilings', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Vermin']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625855
WISTERIA CANDY COTTAGE|39961 OLD HY 80, BOULEVARD, CA 91905|27-Oct-2016|97|A|27-Oct-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Hot and Cold Water']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838903
WISTERIA CANDY COTTAGE|39961 OLD HY 80, BOULEVARD, CA 91905|27-Oct-2016|97|A|29-Oct-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838903
WISTERIA CANDY COTTAGE|39961 OLD HY 80, BOULEVARD, CA 91905|27-Oct-2016|97|A|19-Oct-2015|Routine|96|No major violations observed|['Food Safety Certification', 'Hot and Cold Water']|Boulevard|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838903
