Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CAFE B|1247 SHERIDAN RD, CAMPO, CA 91906|11-May-2017|NULL|NULL|11-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921183180
CAFE B|1247 SHERIDAN RD, CAMPO, CA 91906|11-May-2017|NULL|NULL|01-May-2017|Reinspection|Directed|No major violations observed|['Food Handler Training']|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921183180
CAFE B|1247 SHERIDAN RD, CAMPO, CA 91906|11-May-2017|NULL|NULL|10-Apr-2017|Routine|93|No major violations observed|['Food Storage', 'Food Handler Training', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Ventilation and Lighting', 'Wiping Cloths']|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921183180
CAMPO ALTERNATIVE EDUCATION|31360 SR-94, CAMPO, CA 91906|01-May-2017|100|A|01-May-2017|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995153402
CAMPO ALTERNATIVE EDUCATION|31360 SR-94, CAMPO, CA 91906|01-May-2017|100|A|26-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995153402
CAMPO ALTERNATIVE EDUCATION|31360 SR-94, CAMPO, CA 91906|01-May-2017|100|A|17-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995153402
CAMPO DEPOT GIFT SHOP|31123 HY 94, CAMPO, CA 91906|13-Dec-2016|100|NULL|13-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899040005
CAMPO DEPOT GIFT SHOP|31123 HY 94, CAMPO, CA 91906|13-Dec-2016|100|NULL|07-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899040005
CAMPO DEPOT GIFT SHOP|31123 HY 94, CAMPO, CA 91906|13-Dec-2016|100|NULL|06-Dec-2014|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899040005
CAMPO ELEMENTARY SCHOOL|1654 BUCKMAN SPRINGS RD, CAMPO, CA 91906|01-May-2017|99|A|01-May-2017|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533977
CAMPO ELEMENTARY SCHOOL|1654 BUCKMAN SPRINGS RD, CAMPO, CA 91906|01-May-2017|99|A|26-Oct-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533977
CAMPO ELEMENTARY SCHOOL|1654 BUCKMAN SPRINGS RD, CAMPO, CA 91906|01-May-2017|99|A|17-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533977
CAMPO PETROLEUM|31480 HY 94, CAMPO, CA 91906|13-Jun-2017|100|A|13-Jun-2017|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907551961
CAMPO PETROLEUM|31480 HY 94, CAMPO, CA 91906|13-Jun-2017|100|A|13-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Campo|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907551961
