Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #2112-25766D|2211 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|16-Sep-2016|99|A|16-Sep-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211900695218
7-ELEVEN #2112-25766D|2211 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|16-Sep-2016|99|A|19-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211900695218
7-ELEVEN #2112-25766D|2211 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|16-Sep-2016|99|A|13-Apr-2016|Routine|96|No major violations observed|['Food Handler Training', 'Hot and Cold Water']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211900695218
7-ELEVEN #2112-25766D|2211 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|16-Sep-2016|99|A|13-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211900695218
ADA HARRIS ELEMENTARY SCHOOL|1508 WINDSOR RD, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|100|A|29-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988335
ADA HARRIS ELEMENTARY SCHOOL|1508 WINDSOR RD, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|100|A|13-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988335
ADA HARRIS ELEMENTARY SCHOOL|1508 WINDSOR RD, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|100|A|13-Apr-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988335
BELMONT VILLAGE CARDIFF BY THE SEA|3535 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|01-May-2017|98|A|01-May-2017|Routine|98|No major violations observed|['Food Contact Surfaces']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975781431
BELMONT VILLAGE CARDIFF BY THE SEA|3535 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|01-May-2017|98|A|04-May-2016|Routine|99|No major violations observed|['Grade Card, Last Inspection Report, Permit Available']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975781431
BELMONT VILLAGE CARDIFF BY THE SEA|3535 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|01-May-2017|98|A|04-May-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975781431
BELMONT VILLAGE CARDIFF BY THE SEA|3535 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|01-May-2017|98|A|24-Aug-2015|Routine|93|['Food Contact Surfaces']|['Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975781431
CARDIFF 76|3085 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|21-Nov-2016|100|NULL|21-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988950
CARDIFF 76|3085 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|21-Nov-2016|100|NULL|15-Dec-2015|Routine|99|No major violations observed|['Thermometers']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988950
CARDIFF 76|3085 MANCHESTER AVE, CARDIFF BY THE SEA, CA 92007|21-Nov-2016|100|NULL|17-Dec-2014|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898988950
CARDIFF BEACH BAR AT TOWER 13|2633 S HY 101, CARDIFF BY THE SEA, CA 92007|27-Jan-2017|91|A|27-Jan-2017|Routine|91|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Fruits and Vegetables Washed', 'Holding Temperatures', 'Proper Handwashing Facilities', 'Storage of Toxic Substances']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898984272
CARDIFF BEACH BAR AT TOWER 13|2633 S HY 101, CARDIFF BY THE SEA, CA 92007|27-Jan-2017|91|A|08-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898984272
CARDIFF BEACH BAR AT TOWER 13|2633 S HY 101, CARDIFF BY THE SEA, CA 92007|27-Jan-2017|91|A|04-Feb-2016|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Food Handler Training', 'Hot and Cold Water', 'Plumbing', 'Proper Handwashing Facilities']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898984272
CARDIFF ELEMENTARY|1888 MONTGOMERY AVE, Cardiff by the Sea, CA 92007|29-Mar-2017|100|A|29-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685462
CARDIFF ELEMENTARY|1888 MONTGOMERY AVE, Cardiff by the Sea, CA 92007|29-Mar-2017|100|A|29-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685462
CARDIFF ELEMENTARY|1888 MONTGOMERY AVE, Cardiff by the Sea, CA 92007|29-Mar-2017|100|A|13-Oct-2016|Routine|98|No major violations observed|['Food Safety Certification']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685462
CARDIFF ELEMENTARY|1888 MONTGOMERY AVE, Cardiff by the Sea, CA 92007|29-Mar-2017|100|A|13-Apr-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685462
CARDIFF OFFICE|110 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|98|A|29-Mar-2017|Routine|98|No major violations observed|['Food Contact Surfaces']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211906749379
CARDIFF OFFICE|110 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|98|A|07-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211906749379
CARDIFF OFFICE|110 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|98|A|07-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211906749379
CARDIFF OFFICE|110 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|29-Mar-2017|98|A|11-Feb-2015|Routine|98|No major violations observed|['Food Handler Training']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211906749379
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Routine|98|No major violations observed|['Food Safety Certification']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Routine|98|No major violations observed|['Food Safety Certification']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Routine|98|No major violations observed|['Food Safety Certification']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Safety Certification', 'Warewashing Facilities Maintained']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
