Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
2051 CAFE|2051 PALOMAR AIRPORT RD, CARLSBAD, CA 92011-1461|21-Apr-2017|100|A|21-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211984298652
24 HOUR FITNESS|3409 VIA MONTEBELLO 927, CARLSBAD, CA 92009|14-Jun-2017|NULL|NULL|14-Jun-2017|Routine|Complete|No major violations observed|['Proper Handwashing Facilities']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211990601986
24 HOUR FITNESS|3409 VIA MONTEBELLO 927, CARLSBAD, CA 92009|14-Jun-2017|NULL|NULL|23-Nov-2016|Routine|97|No major violations observed|['Plumbing', 'Proper Handwashing Facilities']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211990601986
24 HOUR FITNESS|3409 VIA MONTEBELLO 927, CARLSBAD, CA 92009|14-Jun-2017|NULL|NULL|23-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211990601986
24 HOUR FITNESS|2501 EL CAMINO REAL, CARLSBAD, CA 92008-1202|23-Nov-2016|100|NULL|23-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211949968672
24 HOUR FITNESS|2501 EL CAMINO REAL, CARLSBAD, CA 92008-1202|23-Nov-2016|100|NULL|25-Oct-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211949968672
24 HR FITNESS #024|1265 LAUREL TREE LN, CARLSBAD, CA 92011-4221|19-Dec-2016|98|NULL|19-Dec-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899543528
24 HR FITNESS #024|1265 LAUREL TREE LN, CARLSBAD, CA 92011-4221|19-Dec-2016|98|NULL|25-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899543528
24 HR FITNESS #024|1265 LAUREL TREE LN, CARLSBAD, CA 92011-4221|19-Dec-2016|98|NULL|18-Sep-2014|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899543528
7-ELEVEN #13601G|201 OAK AVE, CARLSBAD, CA 92008|10-Feb-2017|NULL|NULL|10-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221083
7-ELEVEN #13601G|201 OAK AVE, CARLSBAD, CA 92008|10-Feb-2017|NULL|NULL|01-Feb-2017|Routine|98|No major violations observed|['Food Handler Training']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221083
7-ELEVEN #13601G|201 OAK AVE, CARLSBAD, CA 92008|10-Feb-2017|NULL|NULL|13-May-2016|Routine|100|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221083
7-ELEVEN #2111-27109C|901 PALOMAR AIRPORT RD, CARLSBAD, CA 92009|14-Jun-2017|94|A|14-Jun-2017|Routine|94|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836990
7-ELEVEN #2111-27109C|901 PALOMAR AIRPORT RD, CARLSBAD, CA 92009|14-Jun-2017|94|A|24-Aug-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836990
7-ELEVEN #2111-27109C|901 PALOMAR AIRPORT RD, CARLSBAD, CA 92009|14-Jun-2017|94|A|26-Oct-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836990
7-ELEVEN STORE 32942B|5802 VAN ALLEN WAY, CARLSBAD, CA 92008|12-Dec-2016|93|A|12-Dec-2016|Routine|93|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211933217246
7-ELEVEN STORE 32942B|5802 VAN ALLEN WAY, CARLSBAD, CA 92008|12-Dec-2016|93|A|13-Jan-2016|Routine|96|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211933217246
83 DEGREES|660 CARLSBAD VILLAGE DR, CARLSBAD, CA 92008|06-Jan-2017|NULL|NULL|06-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Carlsbad|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898340223
