Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HOUR FITNESS|860 AMENA CT, CHULA VISTA, CA 91910|03-Jan-2017|98|NULL|03-Jan-2017|Routine|98|No major violations observed|['Food Storage', 'Grade Card, Last Inspection Report, Permit Available']|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899132321
24 HOUR FITNESS|860 AMENA CT, CHULA VISTA, CA 91910|03-Jan-2017|98|NULL|29-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899132321
24 HOUR FITNESS|860 AMENA CT, CHULA VISTA, CA 91910|03-Jan-2017|98|NULL|09-Dec-2014|Routine|100|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899132321
24 HOUR FITNESS|1660 BROADWAY, CHULA VISTA, CA 91911|20-Dec-2016|98|NULL|20-Dec-2016|Routine|98|No major violations observed|['Food Storage', 'Grade Card, Last Inspection Report, Permit Available']|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388650
24 HOUR FITNESS|1660 BROADWAY, CHULA VISTA, CA 91911|20-Dec-2016|98|NULL|04-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388650
24 HOUR FITNESS|1660 BROADWAY, CHULA VISTA, CA 91911|20-Dec-2016|98|NULL|05-Dec-2014|Routine|97|No major violations observed|['Food Storage', 'Hot and Cold Water']|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388650
24 HOUR FITNESS #71|320 3RD AVE, CHULA VISTA, CA 91910-3910|01-Dec-2016|100|NULL|01-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211909490074
24 HOUR FITNESS #71|320 3RD AVE, CHULA VISTA, CA 91910-3910|01-Dec-2016|100|NULL|25-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211909490074
24 HOUR FITNESS #71|320 3RD AVE, CHULA VISTA, CA 91910-3910|01-Dec-2016|100|NULL|24-Nov-2014|Routine|97|No major violations observed|['Grade Card, Last Inspection Report, Permit Available', 'Hot and Cold Water']|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211909490074
7 ELEVEN STORE 36427B|398 H ST, CHULA VISTA, CA 91910|12-Aug-2016|NULL|NULL|12-Aug-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Chula Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211901902851
