Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
1906 LODGE|1060 ADELLA, CORONADO, CA 92118|03-Aug-2016|99|A|03-Aug-2016|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211935323089
1906 LODGE|1060 ADELLA, CORONADO, CA 92118|03-Aug-2016|99|A|20-Oct-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Nonfood Contact Surfaces Clean']|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211935323089
AMALO BREW|640 ORANGE AVE, CORONADO, CA 92118|14-Apr-2017|100|A|14-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921540383
AMALO BREW|640 ORANGE AVE, CORONADO, CA 92118|14-Apr-2017|100|A|14-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921540383
AMALO BREW|640 ORANGE AVE, CORONADO, CA 92118|14-Apr-2017|100|A|09-Feb-2017|Routine|97|No major violations observed|['Food Safety Certification', 'Warewashing Facilities Maintained']|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921540383
AMALO BREW|640 ORANGE AVE, CORONADO, CA 92118|14-Apr-2017|100|A|31-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921540383
AMUR CHOCOLATES|1201 01ST ST, CORONADO, CA 92118|10-Apr-2017|100|A|10-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838860
AMUR CHOCOLATES|1201 01ST ST, CORONADO, CA 92118|10-Apr-2017|100|A|22-Feb-2016|Routine|91|['Hot and Cold Water']|['Food Safety Certification', 'Food Handler Training', 'Nonfood Contact Surfaces Clean']|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838860
AMUR CHOCOLATES|1201 01ST ST, CORONADO, CA 92118|10-Apr-2017|100|A|22-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838860
AMUR CHOCOLATES|1201 01ST ST, CORONADO, CA 92118|10-Apr-2017|100|A|18-Mar-2015|Routine|97|No major violations observed|['Plumbing', 'Proper Handwashing Facilities']|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838860
AVENUE LIQUOR STORE|878 ORANGE AVE, CORONADO, CA 92118|14-Dec-2016|NULL|NULL|14-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Coronado|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898766356
