Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #13628C-2111|13835 MANGO DR, DEL MAR, CA 92014|08-Jun-2017|99|A|08-Jun-2017|Routine|99|No major violations observed|['Wiping Cloths']|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383021
7-ELEVEN #13628C-2111|13835 MANGO DR, DEL MAR, CA 92014|08-Jun-2017|99|A|30-Sep-2016|Routine|99|No major violations observed|['Wiping Cloths']|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383021
7-ELEVEN #13628C-2111|13835 MANGO DR, DEL MAR, CA 92014|08-Jun-2017|99|A|11-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383021
AFC SUSHI IN VONS #2348|2606 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Dec-2016|100|A|15-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697729
AFC SUSHI IN VONS #2348|2606 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Dec-2016|100|A|13-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697729
AFC SUSHI IN VONS #2348|2606 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Dec-2016|100|A|29-Mar-2016|Routine|95|No major violations observed|['Food Safety Certification', 'Holding Temperatures', 'Thermometers']|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697729
ALBORZ GREEK & PERSIAN CUISINE|2672 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Feb-2017|95|A|15-Feb-2017|Routine|95|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898993435
ALBORZ GREEK & PERSIAN CUISINE|2672 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Feb-2017|95|A|01-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898993435
ALBORZ GREEK & PERSIAN CUISINE|2672 DEL MAR HEIGHTS RD, DEL MAR, CA 92014|15-Feb-2017|95|A|30-Sep-2016|Routine|90|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Proper Handwashing Facilities', 'Storage of Toxic Substances', 'Toilet Facilities', 'Vermin']|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898993435
AMERICANA|1454 CAMINO DEL MAR, DEL MAR, CA 92014|30-Nov-2016|NULL|NULL|30-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Del Mar|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899238390
