Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CAMP CUYAMACA|12561 HWY 79, DESCANSO, CA 91916|08-May-2017|98|A|08-May-2017|Routine|98|No major violations observed|['Garbage and Refuse', 'Nonfood Contact Surfaces Clean']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549762
CAMP CUYAMACA|12561 HWY 79, DESCANSO, CA 91916|08-May-2017|98|A|14-Dec-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549762
CAMP CUYAMACA|12561 HWY 79, DESCANSO, CA 91916|08-May-2017|98|A|15-Mar-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549762
CAMP CUYAMACA|12561 HWY 79, DESCANSO, CA 91916|08-May-2017|98|A|15-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549762
CAMP OLIVER|8761 RIVERSIDE DR, DESCANSO, CA 91916|18-Jul-2016|100|A|18-Jul-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212444
CAMP OLIVER|8761 RIVERSIDE DR, DESCANSO, CA 91916|18-Jul-2016|100|A|08-Jul-2015|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212444
CAMP OLIVER|8761 RIVERSIDE DR, DESCANSO, CA 91916|18-Jul-2016|100|A|06-Aug-2014|Routine|96|No major violations observed|['Food Labeling', 'Floors, Walls, and Ceilings', 'Vermin']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212444
DESCANSO ELEMENTARY SCHOOL|24842 VIEJAS BLVD, DESCANSO, CA 91916|05-Apr-2017|100|A|05-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898852566
DESCANSO ELEMENTARY SCHOOL|24842 VIEJAS BLVD, DESCANSO, CA 91916|05-Apr-2017|100|A|17-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898852566
DESCANSO ELEMENTARY SCHOOL|24842 VIEJAS BLVD, DESCANSO, CA 91916|05-Apr-2017|100|A|22-Mar-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898852566
DESCANSO JUNCTION RESTAURANT|8306 HY 79, DESCANSO, CA 91916|04-May-2017|95|A|04-May-2017|Routine|95|No major violations observed|['Food Storage', 'Holding Temperatures', 'Vermin']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899089970
DESCANSO JUNCTION RESTAURANT|8306 HY 79, DESCANSO, CA 91916|04-May-2017|95|A|25-Oct-2016|Routine|95|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Wiping Cloths']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899089970
DESCANSO JUNCTION RESTAURANT|8306 HY 79, DESCANSO, CA 91916|04-May-2017|95|A|02-Feb-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Wiping Cloths']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899089970
DESCANSO TRADING POST|8332 HY 79, DESCANSO, CA 91916|04-May-2017|100|NULL|04-May-2017|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912697130
DESCANSO TRADING POST|8332 HY 79, DESCANSO, CA 91916|04-May-2017|100|NULL|30-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912697130
DESCANSO TRADING POST|8332 HY 79, DESCANSO, CA 91916|04-May-2017|100|NULL|20-Feb-2015|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912697130
OAKZANITA SPRINGS|11053 HY 79, DESCANSO, CA 91916|05-Apr-2017|100|A|05-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850581
OAKZANITA SPRINGS|11053 HY 79, DESCANSO, CA 91916|05-Apr-2017|100|A|02-Aug-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850581
OAKZANITA SPRINGS|11053 HY 79, DESCANSO, CA 91916|05-Apr-2017|100|A|30-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850581
PAMS PLACE|8306 HY 79, DESCANSO, CA 91916|16-Jun-2016|100|NULL|16-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898218128
PAMS PLACE|8306 HY 79, DESCANSO, CA 91916|16-Jun-2016|100|NULL|03-Sep-2015|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898218128
PAMS PLACE|8306 HY 79, DESCANSO, CA 91916|16-Jun-2016|100|NULL|18-Jun-2014|Routine|96|No major violations observed|['Food Labeling', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Protection From Contamination']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898218128
PAMS PLACE|8306 HY 79, DESCANSO, CA 91916|16-Jun-2016|100|NULL|18-Jun-2014|Routine|96|No major violations observed|['Food Labeling', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Protection From Contamination']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898218128
PERKINS STORE|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|98|A|04-May-2017|Routine|98|No major violations observed|['Food Storage', 'Storage of Toxic Substances']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898997501
PERKINS STORE|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|98|A|09-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898997501
PERKINS STORE|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|98|A|22-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898997501
VERONICAS KITCHEN|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|96|A|04-May-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627144
VERONICAS KITCHEN|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|96|A|09-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627144
VERONICAS KITCHEN|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|96|A|25-Oct-2016|Routine|97|No major violations observed|['Food Safety Certification', 'Plumbing']|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627144
VERONICAS KITCHEN|24680 VIEJAS BLVD, DESCANSO, CA 91916|04-May-2017|96|A|25-Oct-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Descanso|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627144
