Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
BARRETT JUNCTION CAFE AND MERCANTL|1020 BARRETT LAKE RD, DULZURA, CA 91917|04-Apr-2017|95|A|04-Apr-2017|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Vermin']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831268
BARRETT JUNCTION CAFE AND MERCANTL|1020 BARRETT LAKE RD, DULZURA, CA 91917|04-Apr-2017|95|A|25-Aug-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831268
BARRETT JUNCTION CAFE AND MERCANTL|1020 BARRETT LAKE RD, DULZURA, CA 91917|04-Apr-2017|95|A|10-Aug-2016|Routine|90|['Proper Cooking']|['Approved Equipment and Utensils', 'Food Safety Certification', 'Food Handler Training', 'Nonfood Contact Surfaces Clean']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831268
DULZURA MINI MARKET|17023 HIGHWAY 94, DULZURA, CA 91917-1100|04-Apr-2017|98|A|04-Apr-2017|Routine|98|No major violations observed|['Storage of Toxic Substances', 'Thermometers']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211903064548
DULZURA MINI MARKET|17023 HIGHWAY 94, DULZURA, CA 91917-1100|04-Apr-2017|98|A|10-Aug-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Food Separated and Protected', 'Storage of Toxic Substances']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211903064548
DULZURA MINI MARKET|17023 HIGHWAY 94, DULZURA, CA 91917-1100|04-Apr-2017|98|A|10-Nov-2015|Routine|98|No major violations observed|['Hot and Cold Water']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211903064548
SET FREE TRAINING CENTER|18985 HY 94, DULZURA, CA 91917|10-Apr-2017|98|A|10-Apr-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Ventilation and Lighting']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898382668
SET FREE TRAINING CENTER|18985 HY 94, DULZURA, CA 91917|10-Apr-2017|98|A|20-Jul-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Ventilation and Lighting']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898382668
SET FREE TRAINING CENTER|18985 HY 94, DULZURA, CA 91917|10-Apr-2017|98|A|10-Nov-2015|Routine|96|No major violations observed|['Garbage and Refuse', 'Protection From Contamination', 'Ventilation and Lighting']|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898382668
SET FREE TRAINING CENTER|18985 HY 94, DULZURA, CA 91917|10-Apr-2017|98|A|10-Nov-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Dulzura|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898382668
