Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HR FITNESS #880|198 W MAIN ST, EL CAJON, CA 92020|18-Nov-2016|98|NULL|18-Nov-2016|Routine|98|No major violations observed|['Hot and Cold Water']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684392
24 HR FITNESS #880|198 W MAIN ST, EL CAJON, CA 92020|18-Nov-2016|98|NULL|18-Jun-2015|Routine|95|No major violations observed|['Grade Card, Last Inspection Report, Permit Available', 'Hot and Cold Water', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684392
24 HR FITNESS #880|198 W MAIN ST, EL CAJON, CA 92020|18-Nov-2016|98|NULL|24-Sep-2014|Routine|98|No major violations observed|['Hot and Cold Water']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684392
2ND STREET GAS AND MARKET|725 N 2ND ST, EL CAJON, CA 92021-5802|17-Feb-2017|96|A|17-Feb-2017|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211969849811
2ND STREET GAS AND MARKET|725 N 2ND ST, EL CAJON, CA 92021-5802|17-Feb-2017|96|A|01-Apr-2016|Routine|99|No major violations observed|['Wiping Cloths']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211969849811
2ND STREET GAS AND MARKET|725 N 2ND ST, EL CAJON, CA 92021-5802|17-Feb-2017|96|A|26-Aug-2015|Routine|98|No major violations observed|['Time as Public Health Control']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211969849811
3 BROTHERS LIQUOR|1031 BROADWAY, EL CAJON, CA 92021|20-Mar-2017|97|NULL|20-Mar-2017|Routine|97|No major violations observed|['Hot and Cold Water', 'Toilet Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211929661437
3 BROTHERS LIQUOR|1031 BROADWAY, EL CAJON, CA 92021|20-Mar-2017|97|NULL|12-Jan-2016|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Toilet Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211929661437
3 BROTHERS LIQUOR|1031 BROADWAY, EL CAJON, CA 92021|20-Mar-2017|97|NULL|04-Jun-2015|Reinspection|Directed|No major violations observed|['Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211929661437
7-ELEVEN  #2131-35674H|393 E CHASE AVE, EL CAJON, CA 92020|27-Apr-2017|98|A|27-Apr-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Thawing Methods']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983535370
7-ELEVEN  #2131-35674H|393 E CHASE AVE, EL CAJON, CA 92020|27-Apr-2017|98|A|15-Apr-2016|Routine|96|No major violations observed|['Garbage and Refuse', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983535370
7-ELEVEN  #2131-35674H|393 E CHASE AVE, EL CAJON, CA 92020|27-Apr-2017|98|A|24-Jul-2015|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983535370
7-ELEVEN #13646G|735 E BRADLEY AVE, EL CAJON, CA 92021|28-Feb-2017|92|A|28-Feb-2017|Routine|92|No major violations observed|['Consumer Self-Service', 'Food Storage', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Toilet Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898679417
7-ELEVEN #13646G|735 E BRADLEY AVE, EL CAJON, CA 92021|28-Feb-2017|92|A|08-Apr-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898679417
7-ELEVEN #13646G|735 E BRADLEY AVE, EL CAJON, CA 92021|28-Feb-2017|92|A|08-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898679417
7-ELEVEN #13646G|735 E BRADLEY AVE, EL CAJON, CA 92021|28-Feb-2017|92|A|19-Oct-2015|Routine|90|['Holding Temps']|['Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities', 'Thermometers', 'Toilet Facilities', 'Wiping Cloths']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898679417
7-ELEVEN #13651E|1296 N 02ND ST, EL CAJON, CA 92021|09-Jun-2017|97|A|09-Jun-2017|Routine|97|No major violations observed|['Consumer Self-Service', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701967
7-ELEVEN #13651E|1296 N 02ND ST, EL CAJON, CA 92021|09-Jun-2017|97|A|19-Sep-2016|Routine|96|No major violations observed|['Proper Handwashing Facilities', 'Toilet Facilities', 'Ventilation and Lighting']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701967
7-ELEVEN #13651E|1296 N 02ND ST, EL CAJON, CA 92021|09-Jun-2017|97|A|19-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701967
7-ELEVEN #13651E|1296 N 02ND ST, EL CAJON, CA 92021|09-Jun-2017|97|A|10-Dec-2015|Routine|90|['Handwashing']|['Approved Equipment and Utensils', 'Food Handler Training', 'Garbage and Refuse', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701967
7-ELEVEN #13651E|1296 N 02ND ST, EL CAJON, CA 92021|09-Jun-2017|97|A|10-Dec-2015|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701967
7-ELEVEN #13657F|1666 GREENFIELD DR, EL CAJON, CA 92021|01-Feb-2017|97|A|01-Feb-2017|Routine|97|No major violations observed|['Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116688
7-ELEVEN #13657F|1666 GREENFIELD DR, EL CAJON, CA 92021|01-Feb-2017|97|A|18-Mar-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Wiping Cloths']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116688
7-ELEVEN #13657F|1666 GREENFIELD DR, EL CAJON, CA 92021|01-Feb-2017|97|A|18-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116688
7-ELEVEN #13657F|1666 GREENFIELD DR, EL CAJON, CA 92021|01-Feb-2017|97|A|11-Aug-2015|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116688
7-ELEVEN #13660 E|335 JAMACHA RD, EL CAJON, CA 92019|09-Mar-2017|95|A|09-Mar-2017|Routine|95|No major violations observed|['Nonfood Contact Surfaces Clean', 'Plumbing', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698279
7-ELEVEN #13660 E|335 JAMACHA RD, EL CAJON, CA 92019|09-Mar-2017|95|A|25-Apr-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698279
7-ELEVEN #13660 E|335 JAMACHA RD, EL CAJON, CA 92019|09-Mar-2017|95|A|23-Jun-2015|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698279
7-ELEVEN #16057B|1102 E WASHINGTON AVE, EL CAJON, CA 92019|13-Sep-2016|99|A|13-Sep-2016|Routine|99|No major violations observed|['Toilet Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831102
7-ELEVEN #16057B|1102 E WASHINGTON AVE, EL CAJON, CA 92019|13-Sep-2016|99|A|11-May-2016|Routine|94|No major violations observed|['Floors, Walls, and Ceilings', 'Grade Card, Last Inspection Report, Permit Available', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Wiping Cloths']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831102
7-ELEVEN #16057B|1102 E WASHINGTON AVE, EL CAJON, CA 92019|13-Sep-2016|99|A|12-Jan-2016|Routine|93|No major violations observed|['Food Contact Surfaces', 'Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities', 'Ventilation and Lighting', 'Wiping Cloths']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898831102
7-ELEVEN #16070C|394 W CHASE AVE, EL CAJON, CA 92020|26-Apr-2017|NULL|NULL|26-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898624537
7-ELEVEN #16070C|394 W CHASE AVE, EL CAJON, CA 92020|26-Apr-2017|NULL|NULL|10-Apr-2017|Routine|95|No major violations observed|['Food Safety Certification', 'Food Handler Training', 'Warewashing Facilities Maintained']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898624537
7-ELEVEN #16070C|394 W CHASE AVE, EL CAJON, CA 92020|26-Apr-2017|NULL|NULL|12-May-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|El Cajon|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898624537
