Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
1ST STREET BAR|656 S COAST HY 101, ENCINITAS, CA 92024|19-Dec-2016|100|A|19-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211997245431
1ST STREET BAR|656 S COAST HY 101, ENCINITAS, CA 92024|19-Dec-2016|100|A|14-Jan-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211997245431
1ST STREET BAR|656 S COAST HY 101, ENCINITAS, CA 92024|19-Dec-2016|100|A|20-Nov-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Hot and Cold Water']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211997245431
1ST STREET BAR|656 S COAST HY 101, ENCINITAS, CA 92024|19-Dec-2016|100|A|20-Nov-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211997245431
24 HOUR FITNESS #114|455 SANTA FE DR, ENCINITAS, CA 92024|14-Dec-2016|100|NULL|14-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382154
24 HOUR FITNESS #114|455 SANTA FE DR, ENCINITAS, CA 92024|14-Dec-2016|100|NULL|16-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382154
24 HOUR FITNESS #114|455 SANTA FE DR, ENCINITAS, CA 92024|14-Dec-2016|100|NULL|17-Dec-2014|Routine|100|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382154
2GOOD2B BAKERY AND CAFE|204 N EL CAMINO REAL, ENCINITAS, CA 92024|01-Mar-2017|NULL|NULL|01-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697633
2GOOD2B BAKERY AND CAFE|204 N EL CAMINO REAL, ENCINITAS, CA 92024|01-Mar-2017|NULL|NULL|15-Feb-2017|Routine|92|['Holding Temps', 'Protection From Contamination']|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697633
2GOOD2B BAKERY AND CAFE|204 N EL CAMINO REAL, ENCINITAS, CA 92024|01-Mar-2017|NULL|NULL|11-May-2016|Routine|92|No major violations observed|['Food Contact Surfaces', 'Holding Temperatures', 'Hot and Cold Water', 'Toilet Facilities', 'Ventilation and Lighting']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898697633
7 ELEVEN STORE 21805B|2240 ENCINITAS BLVD, ENCINITAS, CA 92024|19-Sep-2016|92|A|19-Sep-2016|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211979654277
7 ELEVEN STORE 21805B|2240 ENCINITAS BLVD, ENCINITAS, CA 92024|19-Sep-2016|92|A|20-Apr-2016|Routine|98|No major violations observed|['Food Contact Surfaces']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211979654277
7 ELEVEN STORE 21805B|2240 ENCINITAS BLVD, ENCINITAS, CA 92024|19-Sep-2016|92|A|29-Oct-2015|Reinspection|Directed|No major violations observed|['Floors, Walls, and Ceilings']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211979654277
7-ELEVEN #13627|102 LEUCADIA BLVD, ENCINITAS, CA 92024|06-Feb-2017|100|A|06-Feb-2017|Routine|100|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898966896
7-ELEVEN #13627|102 LEUCADIA BLVD, ENCINITAS, CA 92024|06-Feb-2017|100|A|15-Mar-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898966896
7-ELEVEN #13627|102 LEUCADIA BLVD, ENCINITAS, CA 92024|06-Feb-2017|100|A|10-Jun-2015|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898966896
7-ELEVEN #18087F|105 W D ST, ENCINITAS, CA 92024|27-Dec-2016|94|A|27-Dec-2016|Routine|94|No major violations observed|['Hot and Cold Water', 'Proper Handwashing Facilities', 'Toilet Facilities', 'Warewashing Facilities Maintained']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898615458
7-ELEVEN #18087F|105 W D ST, ENCINITAS, CA 92024|27-Dec-2016|94|A|05-Jan-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898615458
7-ELEVEN #18087F|105 W D ST, ENCINITAS, CA 92024|27-Dec-2016|94|A|10-Jul-2015|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898615458
7-ELEVEN #2112-13620|592 SANTA FE DR, ENCINITAS, CA 92024|20-Dec-2016|99|A|20-Dec-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942409374
7-ELEVEN #2112-13620|592 SANTA FE DR, ENCINITAS, CA 92024|20-Dec-2016|99|A|06-Apr-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942409374
7-ELEVEN #2112-13620|592 SANTA FE DR, ENCINITAS, CA 92024|20-Dec-2016|99|A|04-Dec-2015|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942409374
7-ELEVEN #2112-39526A|1766 N COAST HIGHWAY 101, ENCINITAS, CA 92024-1021|23-Sep-2016|90|A|23-Sep-2016|Routine|90|['Hot and Cold Water']|['Food Safety Certification', 'Proper Handwashing Facilities', 'Storage of Toxic Substances', 'Wiping Cloths']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211441
7-ELEVEN #2112-39526A|1766 N COAST HIGHWAY 101, ENCINITAS, CA 92024-1021|23-Sep-2016|90|A|23-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211441
7-ELEVEN #2112-39526A|1766 N COAST HIGHWAY 101, ENCINITAS, CA 92024-1021|23-Sep-2016|90|A|11-Mar-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211441
7-ELEVEN #2112-39526A|1766 N COAST HIGHWAY 101, ENCINITAS, CA 92024-1021|23-Sep-2016|90|A|02-Apr-2015|Routine|96|['Hot and Cold Water']|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211441
7-ELEVEN #2112-39526A|1766 N COAST HIGHWAY 101, ENCINITAS, CA 92024-1021|23-Sep-2016|90|A|02-Apr-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211441
7-ELEVEN #24335E|1988 VILLAGE PARK WAY, ENCINITAS, CA 92024|19-Jun-2017|96|A|19-Jun-2017|Routine|96|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Plumbing', 'Thermometers']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211915501404
7-ELEVEN #24335E|1988 VILLAGE PARK WAY, ENCINITAS, CA 92024|19-Jun-2017|96|A|23-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211915501404
7-ELEVEN #24335E|1988 VILLAGE PARK WAY, ENCINITAS, CA 92024|19-Jun-2017|96|A|19-Sep-2016|Routine|95|No major violations observed|['Food Handler Training', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211915501404
99 CENTS ONLY STORE #169|145 EL CAMINO REAL, ENCINITAS, CA 92024|06-Dec-2016|99|NULL|06-Dec-2016|Routine|99|No major violations observed|['Toilet Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685506
99 CENTS ONLY STORE #169|145 EL CAMINO REAL, ENCINITAS, CA 92024|06-Dec-2016|99|NULL|03-Dec-2015|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Nonfood Contact Surfaces Clean']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685506
99 CENTS ONLY STORE #169|145 EL CAMINO REAL, ENCINITAS, CA 92024|06-Dec-2016|99|NULL|03-Dec-2014|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898685506
A LITTLE MOORE COFFEE|1030 N COAST HY 101, ENCINITAS, CA 92024|07-Feb-2017|97|A|07-Feb-2017|Routine|97|No major violations observed|['Holding Temperatures', 'Ventilation and Lighting']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898361845
A LITTLE MOORE COFFEE|1030 N COAST HY 101, ENCINITAS, CA 92024|07-Feb-2017|97|A|30-Mar-2016|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898361845
A LITTLE MOORE COFFEE|1030 N COAST HY 101, ENCINITAS, CA 92024|07-Feb-2017|97|A|21-Jul-2015|Routine|97|No major violations observed|['Food Separated and Protected', 'Holding Temperatures']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898361845
ACE SUSHI AT VONS #2144|262 N EL CAMINO REAL, ENCINITAS, CA 92024|27-Feb-2017|98|A|27-Feb-2017|Routine|98|No major violations observed|['Holding Temperatures']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972318817
ACE SUSHI AT VONS #2144|262 N EL CAMINO REAL, ENCINITAS, CA 92024|27-Feb-2017|98|A|15-Jun-2016|Routine|98|No major violations observed|['Holding Temperatures']|Encinitas|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972318817
