Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HOUR FITNESS #859|1511 E VALLEY PKWY, ESCONDIDO, CA 92027|28-Dec-2016|100|NULL|28-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898280519
24 HOUR FITNESS #859|1511 E VALLEY PKWY, ESCONDIDO, CA 92027|28-Dec-2016|100|NULL|08-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898280519
24 HOUR FITNESS #859|1511 E VALLEY PKWY, ESCONDIDO, CA 92027|28-Dec-2016|100|NULL|26-Nov-2014|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898280519
24 HOUR FITNESS #873|230 E VIA RANCHO PKWY, SUITE# 2001, ESCONDIDO, CA 92025-8005|13-Jan-2017|100|NULL|13-Jan-2017|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943338207
24 HOUR FITNESS #873|230 E VIA RANCHO PKWY, SUITE# 2001, ESCONDIDO, CA 92025-8005|13-Jan-2017|100|NULL|15-Jun-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943338207
24 HOUR FITNESS #95|400 LA TERRAZA BLVD, ESCONDIDO, CA 92025|29-Dec-2016|98|NULL|29-Dec-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898678901
24 HOUR FITNESS #95|400 LA TERRAZA BLVD, ESCONDIDO, CA 92025|29-Dec-2016|98|NULL|23-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898678901
24 HOUR FITNESS #95|400 LA TERRAZA BLVD, ESCONDIDO, CA 92025|29-Dec-2016|98|NULL|26-Nov-2014|Routine|100|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898678901
5 POINTS SPORTS BAR|1881 S S ESCONDIDO BLVD BLVD, ESCONDIDO, CA 92025-6521|19-Jun-2017|99|A|19-Jun-2017|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898890887
5 POINTS SPORTS BAR|1881 S S ESCONDIDO BLVD BLVD, ESCONDIDO, CA 92025-6521|19-Jun-2017|99|A|19-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Escondido|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898890887
