Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #21800D-2111|631 S MAIN AVE, FALLBROOK, CA 92028|17-Jan-2017|100|A|17-Jan-2017|Routine|100|No major violations observed|No minor violations observed|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909762
7-ELEVEN #21800D-2111|631 S MAIN AVE, FALLBROOK, CA 92028|17-Jan-2017|100|A|08-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909762
7-ELEVEN #21800D-2111|631 S MAIN AVE, FALLBROOK, CA 92028|17-Jan-2017|100|A|23-Dec-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909762
AAMIGO|241 N MAIN AVE, FALLBROOK, CA 92028|05-Jan-2017|90|A|05-Jan-2017|Routine|90|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Thermometers', 'Wiping Cloths']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838383
AAMIGO|241 N MAIN AVE, FALLBROOK, CA 92028|05-Jan-2017|90|A|05-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838383
AAMIGO|241 N MAIN AVE, FALLBROOK, CA 92028|05-Jan-2017|90|A|02-Jun-2016|Routine|95|No major violations observed|['Floors, Walls, and Ceilings', 'Food Handler Training', 'Nonfood Contact Surfaces Clean', 'Private Homes, Living or Sleeping Quarters']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838383
AAMIGO|241 N MAIN AVE, FALLBROOK, CA 92028|05-Jan-2017|90|A|16-Dec-2015|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Private Homes, Living or Sleeping Quarters', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838383
ACE SUSHI AT ALBERTSONS #6786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|99|A|05-Jun-2017|Routine|99|No major violations observed|['Fruits and Vegetables Washed']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211980087590
ACE SUSHI AT ALBERTSONS #6786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|99|A|14-Jul-2016|Routine|100|No major violations observed|No minor violations observed|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211980087590
ACE SUSHI AT ALBERTSONS #6786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|99|A|24-May-2016|Routine|100|No major violations observed|No minor violations observed|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211980087590
ALBERTSONS 4786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|NULL|NULL|05-Jun-2017|Routine|99|No major violations observed|['Wiping Cloths']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955913020
ALBERTSONS 4786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|NULL|NULL|05-Jun-2017|Routine|98|No major violations observed|['Food Contact Surfaces']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955913020
ALBERTSONS 4786|1133 S MISSION RD, FALLBROOK, CA 92028|05-Jun-2017|NULL|NULL|05-Jun-2017|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Wiping Cloths']|Fallbrook|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955913020
