Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
13TH STREET MARKET|1126 13TH ST, IMPERIAL BEACH, CA 91932|21-Dec-2016|100|NULL|21-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684436
13TH STREET MARKET|1126 13TH ST, IMPERIAL BEACH, CA 91932|21-Dec-2016|100|NULL|06-Oct-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684436
13TH STREET MARKET|1126 13TH ST, IMPERIAL BEACH, CA 91932|21-Dec-2016|100|NULL|28-May-2014|Routine|92|No major violations observed|['Food Storage', 'Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898684436
7-ELEVEN #18322C|657 PALM AVE, IMPERIAL BEACH, CA 91932|04-Aug-2016|97|A|04-Aug-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Wiping Cloths']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899234681
7-ELEVEN #18322C|657 PALM AVE, IMPERIAL BEACH, CA 91932|04-Aug-2016|97|A|14-Oct-2015|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899234681
7-ELEVEN #18322C|657 PALM AVE, IMPERIAL BEACH, CA 91932|04-Aug-2016|97|A|11-Feb-2015|Routine|95|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities', 'Toilet Facilities']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899234681
7-ELEVEN #2131-13563A|197 PALM AVE, IMPERIAL BEACH, CA 91932|30-Mar-2017|96|A|30-Mar-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898487639
7-ELEVEN #2131-13563A|197 PALM AVE, IMPERIAL BEACH, CA 91932|30-Mar-2017|96|A|06-Jun-2016|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Proper Handwashing Facilities']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898487639
7-ELEVEN #2131-13563A|197 PALM AVE, IMPERIAL BEACH, CA 91932|30-Mar-2017|96|A|29-Sep-2015|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898487639
7-ELEVEN #23982B|1303 IMPERIAL BEACH BLVD, IMPERIAL BEACH, CA 91932|22-Feb-2017|96|A|22-Feb-2017|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930093696
7-ELEVEN #23982B|1303 IMPERIAL BEACH BLVD, IMPERIAL BEACH, CA 91932|22-Feb-2017|96|A|18-Feb-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Ventilation and Lighting']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930093696
7-ELEVEN #23982B|1303 IMPERIAL BEACH BLVD, IMPERIAL BEACH, CA 91932|22-Feb-2017|96|A|05-Jun-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930093696
7-ELEVEN #24344C|1311 PALM AVE, IMPERIAL BEACH, CA 91932|02-Jun-2017|94|A|02-Jun-2017|Routine|94|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures', 'Hot and Cold Water', 'Wiping Cloths']|Imperial Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898771791
