Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CACTUS FLOWER CAFE|1951 CARRIZO GORGE RD, JACUMBA, CA 91934|24-May-2017|99|A|24-May-2017|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899236126
CACTUS FLOWER CAFE|1951 CARRIZO GORGE RD, JACUMBA, CA 91934|24-May-2017|99|A|09-Nov-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899236126
CACTUS FLOWER CAFE|1951 CARRIZO GORGE RD, JACUMBA, CA 91934|24-May-2017|99|A|09-Feb-2016|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899236126
HIGHLAND SENIOR CITIZEN CTR|44681 OLD HY 80, JACUMBA, CA 91934|24-May-2017|97|A|24-May-2017|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Nonfood Contact Surfaces Clean', 'Ventilation and Lighting']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382710
HIGHLAND SENIOR CITIZEN CTR|44681 OLD HY 80, JACUMBA, CA 91934|24-May-2017|97|A|05-Oct-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382710
HIGHLAND SENIOR CITIZEN CTR|44681 OLD HY 80, JACUMBA, CA 91934|24-May-2017|97|A|30-Sep-2015|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382710
HIGHLAND SENIOR CITIZEN CTR|44681 OLD HY 80, JACUMBA, CA 91934|24-May-2017|97|A|30-Sep-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382710
JACUMBA CHEVRON|1451 CARRIZO GORGE RD, JACUMBA, CA 91934|27-Feb-2017|99|A|27-Feb-2017|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211961669612
JACUMBA CHEVRON|1451 CARRIZO GORGE RD, JACUMBA, CA 91934|27-Feb-2017|99|A|01-Aug-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211961669612
JACUMBA CHEVRON|1451 CARRIZO GORGE RD, JACUMBA, CA 91934|27-Feb-2017|99|A|29-Oct-2015|Reinspection|Directed|No major violations observed|['Approved Equipment and Utensils']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211961669612
JACUMBA HOT SPRINGS & RESORT|44500 OLD HY 80, JACUMBA, CA 91934|17-May-2017|96|A|17-May-2017|Routine|96|No major violations observed|['Food Storage', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930807753
JACUMBA HOT SPRINGS & RESORT|44500 OLD HY 80, JACUMBA, CA 91934|17-May-2017|96|A|28-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930807753
JACUMBA HOT SPRINGS & RESORT|44500 OLD HY 80, JACUMBA, CA 91934|17-May-2017|96|A|27-Oct-2016|Routine|91|['Proper Reheating']|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930807753
JACUMBA MIDDLE SCHOOL|44343 OLD HIGHWAY 80, JACUMBA, CA 91934|20-Mar-2017|100|A|20-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549027
JACUMBA MIDDLE SCHOOL|44343 OLD HIGHWAY 80, JACUMBA, CA 91934|20-Mar-2017|100|A|27-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549027
JACUMBA MIDDLE SCHOOL|44343 OLD HIGHWAY 80, JACUMBA, CA 91934|20-Mar-2017|100|A|29-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898549027
JACUMBA SHELL|1494 CARRIZO GORGE RD, JACUMBA, CA 91934|02-Mar-2017|96|A|02-Mar-2017|Routine|96|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211950590451
JACUMBA SHELL|1494 CARRIZO GORGE RD, JACUMBA, CA 91934|02-Mar-2017|96|A|09-Nov-2016|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211950590451
JACUMBA SHELL|1494 CARRIZO GORGE RD, JACUMBA, CA 91934|02-Mar-2017|96|A|09-Feb-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211950590451
JAYS SOUTHERN CAFE|44461 OLD HIGHWAY 80, JACUMBA, CA 91934|24-May-2017|97|A|24-May-2017|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916173880
JAYS SOUTHERN CAFE|44461 OLD HIGHWAY 80, JACUMBA, CA 91934|24-May-2017|97|A|01-Dec-2016|Routine|97|No major violations observed|['Hot and Cold Water', 'Nonfood Contact Surfaces Clean']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916173880
JAYS SOUTHERN CAFE|44461 OLD HIGHWAY 80, JACUMBA, CA 91934|24-May-2017|97|A|29-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916173880
MOUNTAIN SAGE MARKET|44475 OLD HY 80, JACUMBA, CA 91934|17-May-2017|97|A|17-May-2017|Routine|97|No major violations observed|['Food Storage', 'Hot and Cold Water']|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907731168
MOUNTAIN SAGE MARKET|44475 OLD HY 80, JACUMBA, CA 91934|17-May-2017|97|A|28-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907731168
MOUNTAIN SAGE MARKET|44475 OLD HY 80, JACUMBA, CA 91934|17-May-2017|97|A|23-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Jacumba|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907731168
