Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #21802C|12918 CAMPO RD, JAMUL, CA 91935|31-Jan-2017|98|A|31-Jan-2017|Routine|98|No major violations observed|['Ventilation and Lighting', 'Warewashing Facilities Maintained']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898774231
7-ELEVEN #21802C|12918 CAMPO RD, JAMUL, CA 91935|31-Jan-2017|98|A|06-Jan-2016|Routine|95|No major violations observed|['Floors, Walls, and Ceilings', 'Proper Eating, Tasting, Drinking, or Tobacco Use', 'Proper Handwashing Facilities']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898774231
7-ELEVEN #21802C|12918 CAMPO RD, JAMUL, CA 91935|31-Jan-2017|98|A|24-Feb-2015|Routine|98|No major violations observed|['Proper Eating, Tasting, Drinking, or Tobacco Use']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898774231
BRODYS BURGERS & BEER|12930 CAMPO RD, JAMUL, CA 91935|28-Feb-2017|NULL|NULL|28-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704154
BRODYS BURGERS & BEER|12930 CAMPO RD, JAMUL, CA 91935|28-Feb-2017|NULL|NULL|31-Jan-2017|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Handler Training', 'Hot and Cold Water']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704154
BRODYS BURGERS & BEER|12930 CAMPO RD, JAMUL, CA 91935|28-Feb-2017|NULL|NULL|06-Jan-2016|Routine|96|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Grade Card, Last Inspection Report, Permit Available']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704154
COYOTE CANYON CAFE|14615 OTAY LAKES RD, JAMUL, CA 91935|18-Oct-2016|NULL|NULL|18-Oct-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211928239831
COYOTE CANYON CAFE|14615 OTAY LAKES RD, JAMUL, CA 91935|18-Oct-2016|NULL|NULL|10-Oct-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Safety Certification', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211928239831
COYOTE CANYON CAFE|14615 OTAY LAKES RD, JAMUL, CA 91935|18-Oct-2016|NULL|NULL|10-Oct-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211928239831
COYOTE CANYON CAFE|14615 OTAY LAKES RD, JAMUL, CA 91935|18-Oct-2016|NULL|NULL|04-Feb-2016|Routine|95|['Holding Temps']|['Approved Equipment and Utensils']|Jamul|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211928239831
