Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
AGUA CALIENTE GENERAL STORE|39545 GREAT STHRN OVRLND, JULIAN, CA 92036|15-Dec-2016|98|NULL|15-Dec-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838265
AGUA CALIENTE GENERAL STORE|39545 GREAT STHRN OVRLND, JULIAN, CA 92036|15-Dec-2016|98|NULL|08-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838265
AGUA CALIENTE GENERAL STORE|39545 GREAT STHRN OVRLND, JULIAN, CA 92036|15-Dec-2016|98|NULL|05-Dec-2014|Routine|96|No major violations observed|['Garbage and Refuse', 'Hot and Cold Water', 'Toilet Facilities']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898838265
APPLE ALLEY BAKERY|2122 MAIN ST, JULIAN, CA 92036|18-May-2017|100|A|18-May-2017|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898217320
APPLE ALLEY BAKERY|2122 MAIN ST, JULIAN, CA 92036|18-May-2017|100|A|05-Jan-2017|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Wiping Cloths']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898217320
APPLE ALLEY BAKERY|2122 MAIN ST, JULIAN, CA 92036|18-May-2017|100|A|30-Aug-2016|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898217320
APPLE LANE ORCHARD & CIDER CO|2641 APPLE LN, JULIAN, CA 92036|06-Dec-2016|100|NULL|06-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975941355
APPLE LANE ORCHARD & CIDER CO|2641 APPLE LN, JULIAN, CA 92036|06-Dec-2016|100|NULL|04-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211975941355
BANNER RECREATIONAL RANCH|36342 HY 78, JULIAN, CA 92036|01-Nov-2016|98|NULL|01-Nov-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533795
BANNER RECREATIONAL RANCH|36342 HY 78, JULIAN, CA 92036|01-Nov-2016|98|NULL|14-Aug-2015|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533795
BANNER RECREATIONAL RANCH|36342 HY 78, JULIAN, CA 92036|01-Nov-2016|98|NULL|23-May-2014|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533795
BISHOP STEVENS CAMP CO|1108 BANNER RD, JULIAN, CA 92036|12-Jan-2017|100|A|12-Jan-2017|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898851554
BISHOP STEVENS CAMP CO|1108 BANNER RD, JULIAN, CA 92036|12-Jan-2017|100|A|19-May-2016|Routine|100|No major violations observed|No minor violations observed|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898851554
BISHOP STEVENS CAMP CO|1108 BANNER RD, JULIAN, CA 92036|12-Jan-2017|100|A|31-Jul-2015|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898851554
BUFFALO BILLS CAFE|2603 B ST, JULIAN, CA 92036|11-Jan-2017|93|A|11-Jan-2017|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Food Safety Certification', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Julian|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211952506188
