Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #13610D-2111|6953 LA JOLLA BLVD, LA JOLLA, CA 92037|27-Apr-2017|100|A|27-Apr-2017|Routine|100|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898744530
7-ELEVEN #13610D-2111|6953 LA JOLLA BLVD, LA JOLLA, CA 92037|27-Apr-2017|100|A|08-Sep-2016|Routine|100|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898744530
7-ELEVEN #13610D-2111|6953 LA JOLLA BLVD, LA JOLLA, CA 92037|27-Apr-2017|100|A|31-Dec-2015|Routine|98|No major violations observed|['Food Separated and Protected', 'Warewashing Facilities Maintained']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898744530
ACQUAVITE|1298 PROSPECT ST, SUITE# 3M, LA JOLLA, CA 92037|22-Mar-2017|93|A|22-Mar-2017|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211968165005
ACQUAVITE|1298 PROSPECT ST, SUITE# 3M, LA JOLLA, CA 92037|22-Mar-2017|93|A|22-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211968165005
ACQUAVITE|1298 PROSPECT ST, SUITE# 3M, LA JOLLA, CA 92037|22-Mar-2017|93|A|16-Jun-2016|Routine|100|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211968165005
ACQUAVITE|1298 PROSPECT ST, SUITE# 3M, LA JOLLA, CA 92037|22-Mar-2017|93|A|19-May-2016|Routine|98|No major violations observed|['Approved Procedures']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211968165005
AFC SUSHI  AT RALPHS GROCERY CO #108|8657 VILLA LA JOLLA DR, LA JOLLA, CA 92037|16-Nov-2016|100|A|16-Nov-2016|Routine|100|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211953471216
AFC SUSHI  AT RALPHS GROCERY CO #108|8657 VILLA LA JOLLA DR, LA JOLLA, CA 92037|16-Nov-2016|100|A|07-Mar-2016|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211953471216
AFC SUSHI  AT RALPHS GROCERY CO #108|8657 VILLA LA JOLLA DR, LA JOLLA, CA 92037|16-Nov-2016|100|A|02-Oct-2015|Routine|99|No major violations observed|['Thawing Methods']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211953471216
AFC SUSHI AT VONS 2323|7544 GIRARD AVE, LA JOLLA, CA 92037|04-May-2017|96|A|04-May-2017|Routine|96|No major violations observed|['Fruits and Vegetables Washed', 'Time as Public Health Control', 'Wiping Cloths']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898994562
AFC SUSHI AT VONS 2323|7544 GIRARD AVE, LA JOLLA, CA 92037|04-May-2017|96|A|01-Sep-2016|Routine|100|No major violations observed|No minor violations observed|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898994562
AFC SUSHI AT VONS 2323|7544 GIRARD AVE, LA JOLLA, CA 92037|04-May-2017|96|A|30-Dec-2015|Routine|99|No major violations observed|['Wiping Cloths']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898994562
AMC THEATRES LA JOLLA 12|8657 VILLA LA JOLLA DR, LA JOLLA, CA 92037|21-Nov-2016|95|A|21-Nov-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Warewashing Facilities Maintained']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898851974
AMC THEATRES LA JOLLA 12|8657 VILLA LA JOLLA DR, LA JOLLA, CA 92037|21-Nov-2016|95|A|09-Feb-2016|Routine|97|No major violations observed|['Food Contact Surfaces', 'Nonfood Contact Surfaces Clean']|La Jolla|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898851974
