Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HOUR FITNESS|3633 AVOCADO BLVD, LA MESA, CA 91941|10-Nov-2016|NULL|NULL|10-Nov-2016|Routine|Complete|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698177
24 HOUR FITNESS|3633 AVOCADO BLVD, LA MESA, CA 91941|10-Nov-2016|NULL|NULL|27-Oct-2015|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698177
24 HOUR FITNESS|3633 AVOCADO BLVD, LA MESA, CA 91941|10-Nov-2016|NULL|NULL|22-May-2014|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698177
24 HOUR FITNESS #178|5601 GROSSMONT CENTER DR, LA MESA, CA 91942|19-Jul-2016|100|NULL|19-Jul-2016|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760902
24 HOUR FITNESS #178|5601 GROSSMONT CENTER DR, LA MESA, CA 91942|19-Jul-2016|100|NULL|01-Jul-2015|Routine|Complete|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760902
24 HOUR FITNESS #178|5601 GROSSMONT CENTER DR, LA MESA, CA 91942|19-Jul-2016|100|NULL|29-Jan-2015|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898760902
24 HOUR FITNESS LA MESA #101|7450 UNIVERSITY AVE, LA MESA, CA 91942-6063|04-May-2017|97|NULL|04-May-2017|Routine|97|No major violations observed|['Toilet Facilities', 'Vermin']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943886009
24 HOUR FITNESS LA MESA #101|7450 UNIVERSITY AVE, LA MESA, CA 91942-6063|04-May-2017|97|NULL|29-Mar-2017|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943886009
5 STAR MARKET & LIQUOR|7495 UNIVERSITY AVE, LA MESA, CA 91941|23-Nov-2016|100|NULL|23-Nov-2016|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534367
5 STAR MARKET & LIQUOR|7495 UNIVERSITY AVE, LA MESA, CA 91941|23-Nov-2016|100|NULL|25-Nov-2015|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534367
5 STAR MARKET & LIQUOR|7495 UNIVERSITY AVE, LA MESA, CA 91941|23-Nov-2016|100|NULL|05-Nov-2014|Routine|100|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534367
7 Q LIQUOR|7401 EL CAJON BLVD, LA MESA, CA 91941|10-Nov-2016|95|NULL|10-Nov-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Grade Card, Last Inspection Report, Permit Available', 'Protection From Contamination', 'Toilet Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587669
7 Q LIQUOR|7401 EL CAJON BLVD, LA MESA, CA 91941|10-Nov-2016|95|NULL|07-Dec-2015|Routine|99|No major violations observed|['Grade Card, Last Inspection Report, Permit Available']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587669
7 Q LIQUOR|7401 EL CAJON BLVD, LA MESA, CA 91941|10-Nov-2016|95|NULL|19-Dec-2014|Routine|Complete|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items', 'Thermometers', 'Vermin']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587669
7-ELEVEN|4200 SPRING ST, LA MESA, CA 91941|15-Aug-2016|91|A|15-Aug-2016|Routine|91|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Plumbing', 'Toilet Facilities', 'Wiping Cloths']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916008782
7-ELEVEN|4200 SPRING ST, LA MESA, CA 91941|15-Aug-2016|91|A|29-Sep-2015|Routine|98|No major violations observed|['Proper Handwashing Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916008782
7-ELEVEN|4200 SPRING ST, LA MESA, CA 91941|15-Aug-2016|91|A|20-Apr-2015|Reinspection|Directed|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916008782
7-ELEVEN  # 36812 B|7006 UNIVERSITY AVE, LA MESA, CA 91942|21-Jun-2017|93|A|21-Jun-2017|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211945308480
7-ELEVEN  # 36812 B|7006 UNIVERSITY AVE, LA MESA, CA 91942|21-Jun-2017|93|A|22-Aug-2016|Routine|95|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Eating, Tasting, Drinking, or Tobacco Use', 'Wiping Cloths']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211945308480
7-ELEVEN  # 36812 B|7006 UNIVERSITY AVE, LA MESA, CA 91942|21-Jun-2017|93|A|29-Dec-2015|Routine|97|No major violations observed|['Food Storage', 'Proper Handwashing Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211945308480
7-ELEVEN #13664F|4610 AVOCADO BLVD, LA MESA, CA 91941|09-Feb-2017|97|A|09-Feb-2017|Routine|97|No major violations observed|['Holding Temperatures', 'Premises, Vermin-proofing, Personal/Cleaning Items']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698273
7-ELEVEN #13664F|4610 AVOCADO BLVD, LA MESA, CA 91941|09-Feb-2017|97|A|08-Feb-2017|Routine|Self Closed|No major violations observed|['Holding Temperatures']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698273
7-ELEVEN #13664F|4610 AVOCADO BLVD, LA MESA, CA 91941|09-Feb-2017|97|A|02-Feb-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Ventilation and Lighting']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698273
7-ELEVEN #13664F|4610 AVOCADO BLVD, LA MESA, CA 91941|09-Feb-2017|97|A|02-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898698273
7-ELEVEN #16119E-2111|5255 BALTIMORE DR, LA MESA, CA 91942|30-Jan-2017|NULL|NULL|30-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898261820
7-ELEVEN #16119E-2111|5255 BALTIMORE DR, LA MESA, CA 91942|30-Jan-2017|NULL|NULL|23-Jan-2017|Routine|95|No major violations observed|['Food Safety Certification', 'Food Handler Training', 'Warewashing Facilities Maintained']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898261820
7-ELEVEN #16119E-2111|5255 BALTIMORE DR, LA MESA, CA 91942|30-Jan-2017|NULL|NULL|05-Apr-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898261820
7-ELEVEN #17945E-2121|7602 UNIVERSITY AVE, LA MESA, CA 91941|12-Jan-2017|96|A|12-Jan-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Wiping Cloths']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898837813
7-ELEVEN #17945E-2121|7602 UNIVERSITY AVE, LA MESA, CA 91941|12-Jan-2017|96|A|02-May-2016|Routine|97|No major violations observed|['Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898837813
7-ELEVEN #17945E-2121|7602 UNIVERSITY AVE, LA MESA, CA 91941|12-Jan-2017|96|A|02-May-2016|Reinspection|Directed|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898837813
7-ELEVEN #17945E-2121|7602 UNIVERSITY AVE, LA MESA, CA 91941|12-Jan-2017|96|A|25-Aug-2015|Routine|92|['Holding Temps']|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Proper Handwashing Facilities']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898837813
7-ELEVEN #2111-13647A|8300 PARKWAY DR, LA MESA, CA 91942|05-Jun-2017|97|A|05-Jun-2017|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Food Contact Surfaces']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898215796
7-ELEVEN #2111-13647A|8300 PARKWAY DR, LA MESA, CA 91942|05-Jun-2017|97|A|22-Jul-2016|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898215796
7-ELEVEN #2111-13647A|8300 PARKWAY DR, LA MESA, CA 91942|05-Jun-2017|97|A|08-Sep-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Plumbing']|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898215796
7-ELEVEN #2111-13647A|8300 PARKWAY DR, LA MESA, CA 91942|05-Jun-2017|97|A|08-Sep-2015|Reinspection|Directed|No major violations observed|No minor violations observed|La Mesa|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898215796
