Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #13666G|11610 RIVERSIDE DR, LAKESIDE, CA 92040|05-Dec-2016|98|A|05-Dec-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Wiping Cloths']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943581140
7-ELEVEN #13666G|11610 RIVERSIDE DR, LAKESIDE, CA 92040|05-Dec-2016|98|A|22-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943581140
7-ELEVEN #13666G|11610 RIVERSIDE DR, LAKESIDE, CA 92040|05-Dec-2016|98|A|03-Dec-2015|Routine|96|No major violations observed|['Food Safety Certification', 'Floors, Walls, and Ceilings', 'Wiping Cloths']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211943581140
7-ELEVEN #20245C 2121|10133 MAINE AVE, LAKESIDE, CA 92040|12-Jan-2017|97|A|12-Jan-2017|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898214944
7-ELEVEN #20245C 2121|10133 MAINE AVE, LAKESIDE, CA 92040|12-Jan-2017|97|A|22-Apr-2016|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Protection From Contamination']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898214944
7-ELEVEN #20245C 2121|10133 MAINE AVE, LAKESIDE, CA 92040|12-Jan-2017|97|A|01-Oct-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898214944
7-ELEVEN #2111-22481B|10205 LAKE JENNINGS PARK RD, LAKESIDE, CA 92040|20-Jan-2017|97|A|20-Jan-2017|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Toilet Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211911353662
7-ELEVEN #2111-22481B|10205 LAKE JENNINGS PARK RD, LAKESIDE, CA 92040|20-Jan-2017|97|A|22-Apr-2016|Routine|95|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures', 'Proper Handwashing Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211911353662
7-ELEVEN #2111-22481B|10205 LAKE JENNINGS PARK RD, LAKESIDE, CA 92040|20-Jan-2017|97|A|31-Aug-2015|Routine|99|No major violations observed|['Consumer Self-Service']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211911353662
7-ELEVEN #26651B-2121|10195 RIVERFORD RD, LAKESIDE, CA 92040|12-Dec-2016|NULL|NULL|12-Dec-2016|Reinspection|Directed|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899310019
7-ELEVEN #26651B-2121|10195 RIVERFORD RD, LAKESIDE, CA 92040|12-Dec-2016|NULL|NULL|07-Dec-2016|Routine|91|['Protection From Contamination', 'Vermin']|['Premises, Vermin-proofing, Personal/Cleaning Items']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899310019
7-ELEVEN #26651B-2121|10195 RIVERFORD RD, LAKESIDE, CA 92040|12-Dec-2016|NULL|NULL|03-Dec-2015|Routine|98|No major violations observed|['Food Storage', 'Toilet Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899310019
7-ELEVEN STORE 13662F|8625 LOS COCHES RD, LAKESIDE, CA 92040|30-Jan-2017|NULL|NULL|30-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211932180303
7-ELEVEN STORE 13662F|8625 LOS COCHES RD, LAKESIDE, CA 92040|30-Jan-2017|NULL|NULL|23-Jan-2017|Routine|96|No major violations observed|['Food Safety Certification', 'Proper Handwashing Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211932180303
7-ELEVEN STORE 13662F|8625 LOS COCHES RD, LAKESIDE, CA 92040|30-Jan-2017|NULL|NULL|01-Feb-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211932180303
ALBERTS MEXICAN FOOD|13334 HY 8, LAKESIDE, CA 92040|17-Nov-2016|NULL|NULL|17-Nov-2016|Reinspection|Directed|No major violations observed|['Equipment and Utensil Storage, Use', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898413794
ALBERTS MEXICAN FOOD|13334 HY 8, LAKESIDE, CA 92040|17-Nov-2016|NULL|NULL|10-Nov-2016|Routine|90|['Handwashing', 'Protection From Contamination']|['Food Storage', 'Thawing Methods']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898413794
ALBERTS MEXICAN FOOD|13334 HY 8, LAKESIDE, CA 92040|17-Nov-2016|NULL|NULL|10-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898413794
ALBERTS MEXICAN FOOD|13334 HY 8, LAKESIDE, CA 92040|17-Nov-2016|NULL|NULL|04-Dec-2015|Routine|90|['Handwashing']|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Holding Temperatures', 'Thawing Methods']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898413794
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|13-Jun-2017|Reinspection|Directed|No major violations observed|['Holding Temperatures']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|06-Jun-2017|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|06-Jun-2017|Routine|95|['Holding Temps']|['Premises, Vermin-proofing, Personal/Cleaning Items']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|06-Jun-2017|Routine|Complete|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Plumbing']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|18-Jul-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
ALBERTSONS 738|9560 WINTER GARDENS BLVD, LAKESIDE, CA 92040|13-Jun-2017|NULL|NULL|18-Jul-2016|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|Lakeside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912143723
