Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #17450C-2131|7733 PALM AVE, LEMON GROVE, CA 91945|20-Jun-2017|NULL|NULL|20-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116875
7-ELEVEN #17450C-2131|7733 PALM AVE, LEMON GROVE, CA 91945|20-Jun-2017|NULL|NULL|13-Jun-2017|Routine|95|['Holding Temps']|['Approved Equipment and Utensils']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116875
7-ELEVEN #17450C-2131|7733 PALM AVE, LEMON GROVE, CA 91945|20-Jun-2017|NULL|NULL|07-Sep-2016|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116875
7-ELEVEN #24013E|7607 BROADWAY, LEMON GROVE, CA 91945|09-Mar-2017|98|A|09-Mar-2017|Routine|98|No major violations observed|['Holding Temperatures']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898914297
7-ELEVEN #24013E|7607 BROADWAY, LEMON GROVE, CA 91945|09-Mar-2017|98|A|17-Feb-2016|Routine|99|No major violations observed|['Plumbing']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898914297
7-ELEVEN #24013E|7607 BROADWAY, LEMON GROVE, CA 91945|09-Mar-2017|98|A|09-Jun-2015|Routine|99|No major violations observed|['Plumbing']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898914297
76 UNION|7180 BROADWAY, LEMON GROVE, CA 91945|15-Dec-2016|98|NULL|15-Dec-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383233
76 UNION|7180 BROADWAY, LEMON GROVE, CA 91945|15-Dec-2016|98|NULL|09-Dec-2015|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383233
76 UNION|7180 BROADWAY, LEMON GROVE, CA 91945|15-Dec-2016|98|NULL|01-Oct-2014|Reinspection|Directed|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898383233
99 CENTS ONLY STORE #91|3275 LEMON GROVE AVE, LEMON GROVE, CA 91945|15-Dec-2016|97|NULL|15-Dec-2016|Routine|97|No major violations observed|['Food Labeling', 'Garbage and Refuse', 'Toilet Facilities']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898967462
99 CENTS ONLY STORE #91|3275 LEMON GROVE AVE, LEMON GROVE, CA 91945|15-Dec-2016|97|NULL|15-Dec-2015|Routine|95|No major violations observed|['Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities', 'Toilet Facilities', 'Ventilation and Lighting']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898967462
99 CENTS ONLY STORE #91|3275 LEMON GROVE AVE, LEMON GROVE, CA 91945|15-Dec-2016|97|NULL|10-Dec-2014|Routine|98|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items', 'Toilet Facilities']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898967462
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|02-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|02-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|02-Mar-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|02-Mar-2017|Routine|Complete|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|18-Feb-2016|Routine|100|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|18-Feb-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|18-Feb-2016|Routine|99|No major violations observed|['Equipment and Utensil Storage, Use']|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
ALBERTSONS 707|7090 BROADWAY, LEMON GROVE, CA 91945|02-Mar-2017|NULL|NULL|18-Feb-2016|Routine|Complete|No major violations observed|No minor violations observed|Lemon Grove|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930352940
