Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
100% NATURAL|20 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Aug-2016|91|A|05-Aug-2016|Routine|91|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Storage', 'Holding Temperatures', 'Hot and Cold Water', 'Proper Handwashing Facilities', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899117246
100% NATURAL|20 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Aug-2016|91|A|17-Nov-2015|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Holding Temperatures', 'Personal Cleanliness', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899117246
100% NATURAL|20 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Aug-2016|91|A|12-Mar-2015|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Hot and Cold Water', 'Vermin']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899117246
664 TJ BIRRERIA|505 HIGHLAND AVE, NATIONAL CITY, CA 91950|05-Aug-2016|91|A|05-Aug-2016|Routine|91|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Thermometers', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986729132
7-ELEVEN #13564F|15 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Apr-2017|94|A|05-Apr-2017|Routine|94|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898486155
7-ELEVEN #13564F|15 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Apr-2017|94|A|05-May-2016|Routine|94|No major violations observed|['Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Storage of Toxic Substances']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898486155
7-ELEVEN #13564F|15 N EUCLID AVE, NATIONAL CITY, CA 91950|05-Apr-2017|94|A|18-Aug-2015|Routine|92|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Vermin', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898486155
7-ELEVEN #13583D|2425 SWEETWATER RD, NATIONAL CITY, CA 91950|25-Aug-2016|96|A|25-Aug-2016|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221100
7-ELEVEN #13583D|2425 SWEETWATER RD, NATIONAL CITY, CA 91950|25-Aug-2016|96|A|25-Nov-2015|Routine|97|No major violations observed|['Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221100
7-ELEVEN #13583D|2425 SWEETWATER RD, NATIONAL CITY, CA 91950|25-Aug-2016|96|A|17-Mar-2015|Routine|93|No major violations observed|['Food Contact Surfaces', 'Holding Temperatures', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Vermin']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898221100
7-ELEVEN #17265F-2131|1601 E 18TH ST, NATIONAL CITY, CA 91950|01-May-2017|97|A|01-May-2017|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Grade Card, Last Inspection Report, Permit Available', 'Wiping Cloths']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704172
7-ELEVEN #17265F-2131|1601 E 18TH ST, NATIONAL CITY, CA 91950|01-May-2017|97|A|02-Jun-2016|Routine|94|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704172
7-ELEVEN #17265F-2131|1601 E 18TH ST, NATIONAL CITY, CA 91950|01-May-2017|97|A|17-Sep-2015|Routine|96|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898704172
7-ELEVEN #18218E|807 E 08TH ST, NATIONAL CITY, CA 91950|06-Feb-2017|92|A|06-Feb-2017|Routine|92|No major violations observed|['Proper Eating, Tasting, Drinking, or Tobacco Use', 'Proper Handwashing Facilities', 'Personal Cleanliness', 'Toilet Facilities', 'Warewashing Facilities Maintained', 'Wiping Cloths']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767905
7-ELEVEN #18218E|807 E 08TH ST, NATIONAL CITY, CA 91950|06-Feb-2017|92|A|08-Feb-2016|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Plumbing', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767905
7-ELEVEN #18218E|807 E 08TH ST, NATIONAL CITY, CA 91950|06-Feb-2017|92|A|21-May-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767905
7-ELEVEN #18978D|3100 E PLAZA BLVD, NATIONAL CITY, CA 91950|27-Mar-2017|NULL|NULL|27-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898629831
7-ELEVEN #18978D|3100 E PLAZA BLVD, NATIONAL CITY, CA 91950|27-Mar-2017|NULL|NULL|10-Mar-2017|Routine|92|No major violations observed|['Food Contact Surfaces', 'Food Handler Training', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898629831
7-ELEVEN #18978D|3100 E PLAZA BLVD, NATIONAL CITY, CA 91950|27-Mar-2017|NULL|NULL|03-May-2016|Routine|94|No major violations observed|['Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898629831
7-ELEVEN #20785B-2131|2400 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|95|A|23-Sep-2016|Routine|95|No major violations observed|['Food Handler Training', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899134024
7-ELEVEN #20785B-2131|2400 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|95|A|30-Nov-2015|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Toilet Facilities', 'Ventilation and Lighting', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899134024
7-ELEVEN #20785B-2131|2400 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|95|A|01-Jul-2015|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899134024
7-ELEVEN #2131-34902A|151 N HIGHLAND AVE, NATIONAL CITY, CA 91950|07-Feb-2017|NULL|NULL|07-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898553996
7-ELEVEN #2131-34902A|151 N HIGHLAND AVE, NATIONAL CITY, CA 91950|07-Feb-2017|NULL|NULL|31-Jan-2017|Routine|90|['Hot and Cold Water']|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Wiping Cloths', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898553996
7-ELEVEN #2131-34902A|151 N HIGHLAND AVE, NATIONAL CITY, CA 91950|07-Feb-2017|NULL|NULL|31-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898553996
7-ELEVEN #2131-34902A|151 N HIGHLAND AVE, NATIONAL CITY, CA 91950|07-Feb-2017|NULL|NULL|15-Jan-2016|Routine|93|No major violations observed|['Food Handler Training', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898553996
7-ELEVEN #2131-35538H|1539 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|94|A|23-Sep-2016|Routine|94|['Hot and Cold Water']|['Nonfood Contact Surfaces Clean', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898386056
7-ELEVEN #2131-35538H|1539 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|94|A|23-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898386056
7-ELEVEN #2131-35538H|1539 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|94|A|20-Nov-2015|Routine|93|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Plumbing', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898386056
7-ELEVEN #2131-35538H|1539 HIGHLAND AVE, NATIONAL CITY, CA 91950|23-Sep-2016|94|A|06-Mar-2015|Routine|93|No major violations observed|['Floors, Walls, and Ceilings', 'Hot and Cold Water', 'Proper Handwashing Facilities', 'Vermin']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898386056
7-ELEVEN #39199|1999 SWEETWATER RD, NATIONAL CITY, CA 91950|21-Sep-2016|92|A|21-Sep-2016|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Food Storage', 'Holding Temperatures', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898764013
7-ELEVEN #39199|1999 SWEETWATER RD, NATIONAL CITY, CA 91950|21-Sep-2016|92|A|31-Dec-2015|Routine|94|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Toilet Facilities', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898764013
7-ELEVEN #39199|1999 SWEETWATER RD, NATIONAL CITY, CA 91950|21-Sep-2016|92|A|02-Apr-2015|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898764013
85C BAKERY CAFE|1302 E PLAZA BLVD, SUITE# 103, NATIONAL CITY, CA 91950-3612|13-Sep-2016|94|A|13-Sep-2016|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211903830897
85C BAKERY CAFE|1302 E PLAZA BLVD, SUITE# 103, NATIONAL CITY, CA 91950-3612|13-Sep-2016|94|A|25-Aug-2016|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211903830897
99 CENT ONLY STORES #0101|1320 HIGHLAND AVE, NATIONAL CITY, CA 91950|29-Dec-2016|96|NULL|29-Dec-2016|Routine|96|['Impoundment']|['Grade Card, Last Inspection Report, Permit Available', 'Protection From Contamination', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510128
99 CENT ONLY STORES #0101|1320 HIGHLAND AVE, NATIONAL CITY, CA 91950|29-Dec-2016|96|NULL|22-Dec-2015|Routine|94|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510128
99 CENT ONLY STORES #0101|1320 HIGHLAND AVE, NATIONAL CITY, CA 91950|29-Dec-2016|96|NULL|01-Oct-2014|Routine|95|No major violations observed|['Holding Temperatures', 'Protection From Contamination', 'Toilet Facilities']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510128
A J J ICE CREAM|1037 HARDING AVE, NATIONAL CITY, CA 91950|01-May-2017|98|NULL|01-May-2017|Routine|98|No major violations observed|['Returned or Reserviced Food']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211913207755
A J J ICE CREAM|1037 HARDING AVE, NATIONAL CITY, CA 91950|01-May-2017|98|NULL|17-May-2016|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211913207755
A J J ICE CREAM|1037 HARDING AVE, NATIONAL CITY, CA 91950|01-May-2017|98|NULL|27-Apr-2015|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211913207755
AAA ICE CREAM|2468 VAN NESS AVE, NATIONAL CITY, CA 91950|17-Apr-2017|100|NULL|17-Apr-2017|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898832395
AAA ICE CREAM|2468 VAN NESS AVE, NATIONAL CITY, CA 91950|17-Apr-2017|100|NULL|11-May-2016|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898832395
AAA ICE CREAM|2468 VAN NESS AVE, NATIONAL CITY, CA 91950|17-Apr-2017|100|NULL|08-Apr-2015|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898832395
ABDO ICE CREAM|1021 COOLIDGE AVE, NATIONAL CITY, CA 91950|24-Apr-2017|100|NULL|24-Apr-2017|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938599401
ABDO ICE CREAM|1021 COOLIDGE AVE, NATIONAL CITY, CA 91950|24-Apr-2017|100|NULL|12-May-2016|Routine|99|No major violations observed|['Identification']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938599401
ABDO ICE CREAM|1021 COOLIDGE AVE, NATIONAL CITY, CA 91950|24-Apr-2017|100|NULL|17-Nov-2015|Routine|99|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938599401
AJA LOUNGE|2305 HIGHLAND AVE, NATIONAL CITY, CA 91950|24-Mar-2017|100|A|24-Mar-2017|Routine|100|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921592593
AJA LOUNGE|2305 HIGHLAND AVE, NATIONAL CITY, CA 91950|24-Mar-2017|100|A|25-Jan-2016|Routine|95|No major violations observed|['Hot and Cold Water', 'Protection From Contamination', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921592593
AJA LOUNGE|2305 HIGHLAND AVE, NATIONAL CITY, CA 91950|24-Mar-2017|100|A|25-Jan-2016|Reinspection|Directed|No major violations observed|['Hot and Cold Water', 'Protection From Contamination', 'Warewashing Facilities Maintained']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921592593
AJA LOUNGE|2305 HIGHLAND AVE, NATIONAL CITY, CA 91950|24-Mar-2017|100|A|14-Jan-2016|Other|Directed|['Permit']|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921592593
ALLOTAS COCKTAIL BAR|419 PALM AVE, NATIONAL CITY, CA 91950|30-Mar-2017|98|A|30-Mar-2017|Routine|98|No major violations observed|['Protection From Contamination']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625121
ALLOTAS COCKTAIL BAR|419 PALM AVE, NATIONAL CITY, CA 91950|30-Mar-2017|98|A|30-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625121
ALLOTAS COCKTAIL BAR|419 PALM AVE, NATIONAL CITY, CA 91950|30-Mar-2017|98|A|17-May-2016|Other|Directed|['Permit']|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625121
ALLOTAS COCKTAIL BAR|419 PALM AVE, NATIONAL CITY, CA 91950|30-Mar-2017|98|A|03-Feb-2016|Routine|98|No major violations observed|['Food Contact Surfaces']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625121
ALLOTAS COCKTAIL BAR|419 PALM AVE, NATIONAL CITY, CA 91950|30-Mar-2017|98|A|03-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898625121
ALOBERTOS TACO SHOP|835 PALM AVE, NATIONAL CITY, CA 91950|20-Jul-2016|92|A|20-Jul-2016|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Holding Temperatures', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Plumbing']|National City|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211921809731
