Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
101 CAFE|631 S COAST HWY, OCEANSIDE, CA 92054|28-Sep-2016|91|A|28-Sep-2016|Routine|91|['Holding Temps']|['Food Safety Certification', 'Food Handler Training', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211963353031
24 HOUR FITNESS #80|4655 FRAZEE RD, OCEANSIDE, CA 92057-6100|17-Apr-2017|100|NULL|17-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995367511
24 HOUR FITNESS #80|4655 FRAZEE RD, OCEANSIDE, CA 92057-6100|17-Apr-2017|100|NULL|17-May-2016|Routine|100|No major violations observed|No minor violations observed|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995367511
24 HOUR FITNESS #80|4655 FRAZEE RD, OCEANSIDE, CA 92057-6100|17-Apr-2017|100|NULL|08-Apr-2015|Routine|100|No major violations observed|No minor violations observed|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995367511
333 PACIFIC STEAK & SEAFOOD|333 N PACIFIC ST, OCEANSIDE, CA 92054|08-Feb-2017|97|A|08-Feb-2017|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898613276
333 PACIFIC STEAK & SEAFOOD|333 N PACIFIC ST, OCEANSIDE, CA 92054|08-Feb-2017|97|A|13-May-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898613276
333 PACIFIC STEAK & SEAFOOD|333 N PACIFIC ST, OCEANSIDE, CA 92054|08-Feb-2017|97|A|11-Apr-2016|Routine|95|No major violations observed|['Food Contact Surfaces', 'Vermin', 'Warewashing Facilities Maintained']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898613276
7-ELEVEN #13615G|2850 THUNDER DR, OCEANSIDE, CA 92056|18-Apr-2017|95|A|18-Apr-2017|Routine|95|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587806
7-ELEVEN #13615G|2850 THUNDER DR, OCEANSIDE, CA 92056|18-Apr-2017|95|A|07-Jun-2016|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Storage of Toxic Substances', 'Toilet Facilities']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587806
7-ELEVEN #13615G|2850 THUNDER DR, OCEANSIDE, CA 92056|18-Apr-2017|95|A|10-Sep-2015|Routine|95|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Toilet Facilities']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899587806
7-ELEVEN #17043D|711 OCEANSIDE BLVD, OCEANSIDE, CA 92054|07-Jun-2017|96|A|07-Jun-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898771792
7-ELEVEN #17043D|711 OCEANSIDE BLVD, OCEANSIDE, CA 92054|07-Jun-2017|96|A|21-Nov-2016|Routine|95|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|Oceanside|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898771792
