Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
EL REY RESTAURANT|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|99|A|23-Mar-2017|Routine|99|No major violations observed|['Wiping Cloths']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899342751
EL REY RESTAURANT|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|99|A|02-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899342751
EL REY RESTAURANT|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|99|A|09-Nov-2016|Routine|90|['Holding Temps']|['Food Contact Surfaces', 'Hot and Cold Water', 'Proper Handwashing Facilities']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899342751
JILBERTOS TACO SHOP|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|94|A|13-Apr-2017|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Holding Temperatures', 'Proper Handwashing Facilities']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836502
JILBERTOS TACO SHOP|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|94|A|18-Nov-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Storage of Toxic Substances']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836502
JILBERTOS TACO SHOP|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|94|A|08-Jul-2016|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Wiping Cloths']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836502
JILBERTOS TACO SHOP|15265 HY 76, PAUMA VALLEY, CA 92061|20-Jun-2017|NULL|NULL|20-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898700363
JILBERTOS TACO SHOP|15265 HY 76, PAUMA VALLEY, CA 92061|20-Jun-2017|NULL|NULL|15-May-2017|Routine|96|No major violations observed|['Hot and Cold Water', 'Proper Handwashing Facilities']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898700363
JILBERTOS TACO SHOP|15265 HY 76, PAUMA VALLEY, CA 92061|20-Jun-2017|NULL|NULL|28-Dec-2016|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Wiping Cloths']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898700363
LAZY H RANCH|16787 SR-76, PAUMA VALLEY, CA 92061|13-Jun-2017|94|A|13-Jun-2017|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Food Safety Certification', 'Floors, Walls, and Ceilings', 'Vermin']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358014
LAZY H RANCH|16787 SR-76, PAUMA VALLEY, CA 92061|13-Jun-2017|94|A|02-Feb-2017|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358014
LAZY H RANCH|16787 SR-76, PAUMA VALLEY, CA 92061|13-Jun-2017|94|A|30-Sep-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358014
OAK KNOLL VILLAGE|31718 S GRADE RD, PAUMA VALLEY, CA 92061|15-Nov-2016|100|NULL|15-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898211893
OAK KNOLL VILLAGE|31718 S GRADE RD, PAUMA VALLEY, CA 92061|15-Nov-2016|100|NULL|28-Oct-2015|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898211893
OAK KNOLL VILLAGE|31718 S GRADE RD, PAUMA VALLEY, CA 92061|15-Nov-2016|100|NULL|16-Jan-2015|Routine|Complete|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898211893
PAUMA ELEMENTARY SCHOOL|33158 COLE GRADE, PAUMA VALLEY, CA 92061-9578|07-Mar-2017|100|A|07-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288770
PAUMA ELEMENTARY SCHOOL|33158 COLE GRADE, PAUMA VALLEY, CA 92061-9578|07-Mar-2017|100|A|07-Oct-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288770
PAUMA ELEMENTARY SCHOOL|33158 COLE GRADE, PAUMA VALLEY, CA 92061-9578|07-Mar-2017|100|A|11-Mar-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288770
PAUMA VALLEY TRADING CENTER|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|100|A|23-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294678
PAUMA VALLEY TRADING CENTER|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|100|A|09-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294678
PAUMA VALLEY TRADING CENTER|16220 HY 76, PAUMA VALLEY, CA 92061|23-Mar-2017|100|A|11-May-2016|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294678
PAUMA VLY COUNTRY CLUB|15835 PAUMA VALLEY DR, PAUMA VALLEY, CA 92061|13-Apr-2017|98|A|13-Apr-2017|Routine|98|No major violations observed|['Holding Temperatures']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898355847
PAUMA VLY COUNTRY CLUB|15835 PAUMA VALLEY DR, PAUMA VALLEY, CA 92061|13-Apr-2017|98|A|02-Dec-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Wiping Cloths']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898355847
PAUMA VLY COUNTRY CLUB|15835 PAUMA VALLEY DR, PAUMA VALLEY, CA 92061|13-Apr-2017|98|A|11-May-2016|Routine|98|No major violations observed|['Holding Temperatures']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898355847
RANCHO CORRIDO RV INC|14715 HIGHWAY 76, PAUMA VALLEY, CA 92061-9505|23-Mar-2017|98|NULL|23-Mar-2017|Routine|98|No major violations observed|['Hot and Cold Water']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412030
RANCHO CORRIDO RV INC|14715 HIGHWAY 76, PAUMA VALLEY, CA 92061-9505|23-Mar-2017|98|NULL|11-Mar-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412030
RANCHO CORRIDO RV INC|14715 HIGHWAY 76, PAUMA VALLEY, CA 92061-9505|23-Mar-2017|98|NULL|30-Oct-2015|Routine|100|No major violations observed|No minor violations observed|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412030
STAGESTOP & LIQUOR|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|99|A|13-Apr-2017|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211452
STAGESTOP & LIQUOR|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|99|A|18-Nov-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211452
STAGESTOP & LIQUOR|17128 HY 76, PAUMA VALLEY, CA 92061|13-Apr-2017|99|A|08-Jul-2016|Routine|97|No major violations observed|['Thawing Methods', 'Vermin']|Pauma Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211452
