Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CALVINS|28841 OLD HIGHWAY 80, PINE VALLEY, CA 91962|17-Jun-2017|93|A|17-Jun-2017|Routine|93|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Plumbing', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899308822
CALVINS|28841 OLD HIGHWAY 80, PINE VALLEY, CA 91962|17-Jun-2017|93|A|03-Dec-2016|Routine|94|No major violations observed|['Nonfood Contact Surfaces Clean', 'Plumbing', 'Proper Eating, Tasting, Drinking, or Tobacco Use', 'Proper Handwashing Facilities']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899308822
CALVINS|28841 OLD HIGHWAY 80, PINE VALLEY, CA 91962|17-Jun-2017|93|A|25-Mar-2016|Routine|93|No major violations observed|['Floors, Walls, and Ceilings', 'Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899308822
CALVINS|28841 OLD HIGHWAY 80, PINE VALLEY, CA 91962|17-Jun-2017|93|A|25-Mar-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899308822
FROSTY BURGER|28823 OLD HIGHWAY 80, PINE VALLEY, CA 91962|13-Mar-2017|95|A|13-Mar-2017|Routine|95|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Ventilation and Lighting']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211904217493
FROSTY BURGER|28823 OLD HIGHWAY 80, PINE VALLEY, CA 91962|13-Mar-2017|95|A|02-Aug-2016|Routine|97|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Ventilation and Lighting']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211904217493
FROSTY BURGER|28823 OLD HIGHWAY 80, PINE VALLEY, CA 91962|13-Mar-2017|95|A|30-Nov-2015|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211904217493
MAJORS DINER|28870 OLD HY 80, PINE VALLEY, CA 91962|13-Mar-2017|99|A|13-Mar-2017|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898849256
MAJORS DINER|28870 OLD HY 80, PINE VALLEY, CA 91962|13-Mar-2017|99|A|02-Aug-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898849256
MAJORS DINER|28870 OLD HY 80, PINE VALLEY, CA 91962|13-Mar-2017|99|A|02-Aug-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898849256
MAJORS DINER|28870 OLD HY 80, PINE VALLEY, CA 91962|13-Mar-2017|99|A|30-Nov-2015|Routine|92|No major violations observed|['Food Safety Certification', 'Food Separated and Protected', 'Food Handler Training', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898849256
MOUNTAIN MARKET|28914 OLD HIGHWAY 80, PINE VALLEY, CA 91962|12-Jun-2017|91|A|12-Jun-2017|Routine|91|No major violations observed|['Proper Eating, Tasting, Drinking, or Tobacco Use', 'Protection From Contamination', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances', 'Ventilation and Lighting', 'Wiping Cloths', 'Warewashing Facilities Maintained']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898457316
MOUNTAIN MARKET|28914 OLD HIGHWAY 80, PINE VALLEY, CA 91962|12-Jun-2017|91|A|29-Nov-2016|Routine|92|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Protection From Contamination', 'Ventilation and Lighting', 'Wiping Cloths']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898457316
MOUNTAIN MARKET|28914 OLD HIGHWAY 80, PINE VALLEY, CA 91962|12-Jun-2017|91|A|17-Oct-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898457316
MT EMPIRE JR SR HS CAFETERIA|3305 BUCKMAN SPRINGS RD, PINE VALLEY, CA 91962|01-May-2017|100|A|01-May-2017|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899041740
MT EMPIRE JR SR HS CAFETERIA|3305 BUCKMAN SPRINGS RD, PINE VALLEY, CA 91962|01-May-2017|100|A|26-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899041740
MT EMPIRE JR SR HS CAFETERIA|3305 BUCKMAN SPRINGS RD, PINE VALLEY, CA 91962|01-May-2017|100|A|17-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899041740
PINE VALLEY BIBLE CAMP|8668 PINE CREEK RD, PINE VALLEY, CA 91962|12-Jun-2017|98|A|12-Jun-2017|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Wiping Cloths']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899386969
PINE VALLEY BIBLE CAMP|8668 PINE CREEK RD, PINE VALLEY, CA 91962|12-Jun-2017|98|A|06-Jun-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899386969
PINE VALLEY BIBLE CAMP|8668 PINE CREEK RD, PINE VALLEY, CA 91962|12-Jun-2017|98|A|06-Jul-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899386969
PINE VALLEY ELEMENTARY SCHOOL|7454 PINE BLVD, PINE VALLEY, CA 91962|05-Apr-2017|100|A|05-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212445
PINE VALLEY ELEMENTARY SCHOOL|7454 PINE BLVD, PINE VALLEY, CA 91962|05-Apr-2017|100|A|17-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212445
PINE VALLEY ELEMENTARY SCHOOL|7454 PINE BLVD, PINE VALLEY, CA 91962|05-Apr-2017|100|A|30-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898212445
PINE VALLEY STORE & GIFT SHOP|28820 OLD HY 80, PINE VALLEY, CA 91962|05-Apr-2017|96|A|05-Apr-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Protection From Contamination']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899314754
PINE VALLEY STORE & GIFT SHOP|28820 OLD HY 80, PINE VALLEY, CA 91962|05-Apr-2017|96|A|17-Oct-2016|Routine|96|No major violations observed|['Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899314754
PINE VALLEY STORE & GIFT SHOP|28820 OLD HY 80, PINE VALLEY, CA 91962|05-Apr-2017|96|A|02-Feb-2016|Routine|100|No major violations observed|No minor violations observed|Pine Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899314754
