Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CAFE 94|25275 POTRERO VALLEY RD, POTRERO, CA 91963|10-Apr-2017|99|A|10-Apr-2017|Routine|99|No major violations observed|['Wiping Cloths']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211949796437
CAFE 94|25275 POTRERO VALLEY RD, POTRERO, CA 91963|10-Apr-2017|99|A|08-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211949796437
CAFE 94|25275 POTRERO VALLEY RD, POTRERO, CA 91963|10-Apr-2017|99|A|31-Oct-2016|Routine|96|No major violations observed|['Food Safety Certification', 'Proper Eating, Tasting, Drinking, or Tobacco Use']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211949796437
POTRERO ELEMENTARY SCHOOL|24875 POTRERO VALLEY RD, POTRERO, CA 91963|15-May-2017|100|A|15-May-2017|Routine|100|No major violations observed|No minor violations observed|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899120225
POTRERO ELEMENTARY SCHOOL|24875 POTRERO VALLEY RD, POTRERO, CA 91963|15-May-2017|100|A|31-Oct-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899120225
POTRERO ELEMENTARY SCHOOL|24875 POTRERO VALLEY RD, POTRERO, CA 91963|15-May-2017|100|A|01-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899120225
POTRERO GENERAL STORE|25125 HY 94, POTRERO, CA 91963|23-Feb-2017|98|A|23-Feb-2017|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992356636
POTRERO GENERAL STORE|25125 HY 94, POTRERO, CA 91963|23-Feb-2017|98|A|28-Sep-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992356636
POTRERO GENERAL STORE|25125 HY 94, POTRERO, CA 91963|23-Feb-2017|98|A|28-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992356636
POTRERO GENERAL STORE|25125 HY 94, POTRERO, CA 91963|23-Feb-2017|98|A|13-Apr-2016|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Potrero|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992356636
