Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #13624D|13626 POMERADO RD, POWAY, CA 92064|28-Oct-2016|99|A|28-Oct-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898287549
7-ELEVEN #13624D|13626 POMERADO RD, POWAY, CA 92064|28-Oct-2016|99|A|03-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898287549
7-ELEVEN #13624D|13626 POMERADO RD, POWAY, CA 92064|28-Oct-2016|99|A|13-May-2016|Routine|95|No major violations observed|['Food Safety Certification', 'Food Storage', 'Proper Handwashing Facilities']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898287549
7-ELEVEN #26182D|14225 POWAY RD, POWAY, CA 92064|06-Jan-2017|98|A|06-Jan-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Toilet Facilities']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964829874
7-ELEVEN #26182D|14225 POWAY RD, POWAY, CA 92064|06-Jan-2017|98|A|13-Apr-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Warewashing Facilities Maintained']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964829874
7-ELEVEN #26182D|14225 POWAY RD, POWAY, CA 92064|06-Jan-2017|98|A|13-Jan-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211964829874
7-ELEVEN #39094|13012 POMERADO RD, POWAY, CA 92064|18-Jan-2017|98|A|18-Jan-2017|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840448
7-ELEVEN #39094|13012 POMERADO RD, POWAY, CA 92064|18-Jan-2017|98|A|25-Apr-2016|Routine|98|No major violations observed|['Holding Temperatures']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840448
7-ELEVEN #39094|13012 POMERADO RD, POWAY, CA 92064|18-Jan-2017|98|A|08-Dec-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840448
99 CENT ONLY STORE #0318|12369 POWAY RD, POWAY, CA 92064-4218|21-Dec-2016|98|NULL|21-Dec-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Toilet Facilities']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898389919
99 CENT ONLY STORE #0318|12369 POWAY RD, POWAY, CA 92064-4218|21-Dec-2016|98|NULL|03-Sep-2015|Routine|96|No major violations observed|['Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities', 'Toilet Facilities']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898389919
99 CENT ONLY STORE #0318|12369 POWAY RD, POWAY, CA 92064-4218|21-Dec-2016|98|NULL|14-Apr-2014|Routine|99|No major violations observed|['Grade Card, Last Inspection Report, Permit Available']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898389919
ABRAXAS HIGH SCHOOL|12450 GLEN OAK RD, POWAY, CA 92064|20-Apr-2017|100|A|20-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899118830
ABRAXAS HIGH SCHOOL|12450 GLEN OAK RD, POWAY, CA 92064|20-Apr-2017|100|A|13-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899118830
ABRAXAS HIGH SCHOOL|12450 GLEN OAK RD, POWAY, CA 92064|20-Apr-2017|100|A|27-Apr-2016|Routine|100|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899118830
ADELAS AUTHENTIC MEXICAN AND SEAFOOD|14034 POWAY RD, SUITE# C D, POWAY, CA 92064|02-Mar-2017|NULL|NULL|02-Mar-2017|Routine|Complete|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211923058528
ADELAS AUTHENTIC MEXICAN AND SEAFOOD|14034 POWAY RD, SUITE# C D, POWAY, CA 92064|02-Mar-2017|NULL|NULL|26-Jul-2016|Routine|98|No major violations observed|['Vermin']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211923058528
ADELAS AUTHENTIC MEXICAN AND SEAFOOD|14034 POWAY RD, SUITE# C D, POWAY, CA 92064|02-Mar-2017|NULL|NULL|26-Jul-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211923058528
ADELAS AUTHENTIC MEXICAN AND SEAFOOD|14034 POWAY RD, SUITE# C D, POWAY, CA 92064|02-Mar-2017|NULL|NULL|29-Jun-2016|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Plumbing', 'Warewashing Facilities Maintained']|Poway|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211923058528
