Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #20211D-2111|1076 MAIN ST, RAMONA, CA 92065|10-Oct-2016|96|A|10-Oct-2016|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899403749
7-ELEVEN #20211D-2111|1076 MAIN ST, RAMONA, CA 92065|10-Oct-2016|96|A|16-Nov-2015|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899403749
7-ELEVEN #20211D-2111|1076 MAIN ST, RAMONA, CA 92065|10-Oct-2016|96|A|16-Nov-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899403749
7-ELEVEN #20211D-2111|1076 MAIN ST, RAMONA, CA 92065|10-Oct-2016|96|A|10-Nov-2015|Routine|84|['Holding Temps', 'Handwashing']|['Food Safety Certification', 'Food Handler Training', 'Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities', 'Thermometers']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899403749
7-ELEVEN #20211D-2111|1076 MAIN ST, RAMONA, CA 92065|10-Oct-2016|96|A|10-Nov-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899403749
99 CENTS ONLY STORE|1326 MAIN ST, RAMONA, CA 92065|22-Nov-2016|94|NULL|22-Nov-2016|Routine|94|No major violations observed|['Holding Temperatures', 'Hot and Cold Water', 'Proper Handwashing Facilities']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211981913977
99 CENTS ONLY STORE|1326 MAIN ST, RAMONA, CA 92065|22-Nov-2016|94|NULL|01-Dec-2015|Routine|97|No major violations observed|['Plumbing', 'Proper Handwashing Facilities']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211981913977
99 CENTS ONLY STORE|1326 MAIN ST, RAMONA, CA 92065|22-Nov-2016|94|NULL|02-Dec-2014|Routine|98|No major violations observed|['Holding Temperatures']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211981913977
ABBY  PRODUCE|2037 MAIN ST, RAMONA, CA 92065|03-Feb-2017|NULL|NULL|03-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211952419900
ABBY  PRODUCE|2037 MAIN ST, RAMONA, CA 92065|03-Feb-2017|NULL|NULL|04-Jan-2017|Reinspection|Directed|No major violations observed|['Hot and Cold Water', 'Vermin']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211952419900
ABBY  PRODUCE|2037 MAIN ST, RAMONA, CA 92065|03-Feb-2017|NULL|NULL|12-Dec-2016|Routine|90|['Hot and Cold Water']|['Holding Temperatures', 'Proper Handwashing Facilities', 'Vermin']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211952419900
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|28-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|28-Nov-2016|Routine|99|No major violations observed|['Equipment and Utensil Storage, Use']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|28-Nov-2016|Routine|97|No major violations observed|['Fruits and Vegetables Washed', 'Holding Temperatures']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|28-Nov-2016|Routine|97|No major violations observed|['Holding Temperatures', 'Plumbing']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|28-Nov-2016|Routine|Complete|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|09-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|09-Dec-2015|Routine|99|No major violations observed|['Equipment and Utensil Storage, Use']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|09-Dec-2015|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
ALBERTSONS #725|1459 MAIN ST, RAMONA, CA 92065|28-Nov-2016|NULL|NULL|09-Dec-2015|Routine|Complete|No major violations observed|['Food Contact Surfaces', 'Plumbing', 'Toilet Facilities']|Ramona|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211978323851
