Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
067 EATERY|16236 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|23-Sep-2016|99|A|23-Sep-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841059
067 EATERY|16236 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|23-Sep-2016|99|A|14-Jan-2016|Routine|100|No major violations observed|No minor violations observed|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841059
067 EATERY|16236 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|23-Sep-2016|99|A|14-Jan-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841059
067 EATERY|16236 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|23-Sep-2016|99|A|31-Dec-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841059
CAFFE POSITANO DUE|16079 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|03-Nov-2016|98|A|03-Nov-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534592
CAFFE POSITANO DUE|16079 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|03-Nov-2016|98|A|08-Dec-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Storage of Toxic Substances', 'Toilet Facilities']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534592
CAFFE POSITANO DUE|16079 SAN DIEGUITO RD, RANCHO SANTA FE, CA 92067|03-Nov-2016|98|A|02-Feb-2015|Routine|98|No major violations observed|['Food Storage', 'Nonfood Contact Surfaces Clean']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898534592
CAFFE POSITANO VILLAGE|6027 PASEO DELICIAS, RANCHO SANTA FE, CA 92067|08-Mar-2017|99|A|08-Mar-2017|Routine|99|No major violations observed|['Warewashing Facilities Maintained']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358030
CAFFE POSITANO VILLAGE|6027 PASEO DELICIAS, RANCHO SANTA FE, CA 92067|08-Mar-2017|99|A|08-Feb-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Hot and Cold Water']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358030
CAFFE POSITANO VILLAGE|6027 PASEO DELICIAS, RANCHO SANTA FE, CA 92067|08-Mar-2017|99|A|02-Feb-2015|Routine|97|No major violations observed|['Hot and Cold Water', 'Nonfood Contact Surfaces Clean']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898358030
CESAR RSF|16089 SAN DIEGUITO RD H-101, RANCHO SANTA FE, CA 92067|23-Sep-2016|96|A|23-Sep-2016|Routine|96|No major violations observed|['Proper Handwashing Facilities', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Wiping Cloths']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211973884847
CESAR RSF|16089 SAN DIEGUITO RD H-101, RANCHO SANTA FE, CA 92067|23-Sep-2016|96|A|29-Jun-2016|Routine|99|No major violations observed|['Plumbing']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211973884847
DEL MAR COUNTRY CLUB|6001 CLUBHOUSE DR, RANCHO SANTA FE, CA 92067|06-Feb-2017|97|A|06-Feb-2017|Routine|97|No major violations observed|['Food Separated and Protected', 'Proper Handwashing Facilities']|Rancho Santa Fe|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898337515
