Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
ELIS S PERUVIAN CATERING|4979 EL CAJON BLVD, SAN DIEGO, CA 92115|09-May-2017|100|A|09-May-2017|Routine|100|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992333733
ELIS S PERUVIAN CATERING|4979 EL CAJON BLVD, SAN DIEGO, CA 92115|09-May-2017|100|A|20-Apr-2017|Routine|100|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211992333733
ELIXIR ESPRESSO BAR|4545 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122|21-Mar-2017|98|A|21-Mar-2017|Routine|98|No major violations observed|['Hot and Cold Water']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211970721940
ELIXIR ESPRESSO BAR|4545 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122|21-Mar-2017|98|A|13-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211970721940
ELIXIR ESPRESSO BAR|4545 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122|21-Mar-2017|98|A|06-Sep-2016|Routine|92|No major violations observed|['Food Storage', 'Food Handler Training', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Wiping Cloths', 'Warewashing Facilities Maintained']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211970721940
ELIXIR EXPRESSO BAR|427 C ST, SAN DIEGO, CA 92101|13-Feb-2017|NULL|NULL|13-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836639
ELIXIR EXPRESSO BAR|427 C ST, SAN DIEGO, CA 92101|13-Feb-2017|NULL|NULL|09-Feb-2017|Routine|95|['Permit']|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Vermin', 'Warewashing Facilities Maintained']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836639
ELIXIR EXPRESSO BAR|427 C ST, SAN DIEGO, CA 92101|13-Feb-2017|NULL|NULL|12-May-2016|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Warewashing Facilities Maintained']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898836639
ELKS LODGE #598|6 HENSLEY ST, SAN DIEGO, CA 92113|02-Aug-2016|NULL|NULL|02-Aug-2016|Routine|Complete|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113570
ELKS LODGE #598|6 HENSLEY ST, SAN DIEGO, CA 92113|02-Aug-2016|NULL|NULL|03-Nov-2015|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Vermin']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113570
ELKS LODGE #598|6 HENSLEY ST, SAN DIEGO, CA 92113|02-Aug-2016|NULL|NULL|30-Oct-2015|Routine|No Access|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113570
ELSAS KITCHEN|7022 EL CAJON BLVD, SAN DIEGO, CA 92115|17-Jan-2017|95|A|17-Jan-2017|Routine|95|No major violations observed|['Food Separated and Protected', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Thawing Methods', 'Wiping Cloths']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211902583198
ELSAS KITCHEN|7022 EL CAJON BLVD, SAN DIEGO, CA 92115|17-Jan-2017|95|A|05-May-2016|Routine|98|No major violations observed|['Nonfood Contact Surfaces Clean', 'Wiping Cloths']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211902583198
ELSAS KITCHEN|7022 EL CAJON BLVD, SAN DIEGO, CA 92115|17-Jan-2017|95|A|27-Aug-2015|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211902583198
ELVAS BOWLS AND WRAPS|5664 MISSION CENTER RD, SAN DIEGO, CA 92108|02-Mar-2017|NULL|NULL|02-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211901609290
ELVAS BOWLS AND WRAPS|5664 MISSION CENTER RD, SAN DIEGO, CA 92108|02-Mar-2017|NULL|NULL|22-Feb-2017|Routine|90|['Holding Temps', 'Handwashing']|['Proper Handwashing Facilities']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211901609290
EMBARGO GRILL|3960 W POINT LOMA BLVD, SAN DIEGO, CA 92110|18-May-2017|NULL|NULL|18-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211959437723
EMBARGO GRILL|3960 W POINT LOMA BLVD, SAN DIEGO, CA 92110|18-May-2017|NULL|NULL|27-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211959437723
EMBARGO GRILL|3960 W POINT LOMA BLVD, SAN DIEGO, CA 92110|18-May-2017|NULL|NULL|18-Apr-2017|Routine|90|['Proper Cooling']|['Holding Temperatures', 'Proper Handwashing Facilities', 'Vermin']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211959437723
EMBASSY SUITES|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|100|A|18-Jan-2017|Routine|100|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898344241
EMBASSY SUITES|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|100|A|26-Apr-2016|Routine|100|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898344241
EMBASSY SUITES|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|100|A|02-Nov-2015|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Grade Card, Last Inspection Report, Permit Available', 'Garbage and Refuse']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898344241
EMBASSY SUITES HOTEL KITCHEN|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|96|A|18-Jan-2017|Routine|96|No major violations observed|['Hot and Cold Water', 'Holding Temperatures']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909306
EMBASSY SUITES HOTEL KITCHEN|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|96|A|26-Apr-2016|Routine|97|No major violations observed|['Food Contact Surfaces', 'Nonfood Contact Surfaces Clean']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909306
EMBASSY SUITES HOTEL KITCHEN|4550 LA JOLLA VILLAGE DR, SAN DIEGO, CA 92122-1248|18-Jan-2017|96|A|02-Nov-2015|Routine|95|No major violations observed|['Food Contact Surfaces', 'Grade Card, Last Inspection Report, Permit Available', 'Garbage and Refuse', 'Nonfood Contact Surfaces Clean']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898909306
EMBASSY SUITES SAN DIEGO BAY|601 PACIFIC HWY, SAN DIEGO, CA 92101|08-Feb-2017|NULL|NULL|08-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983169808
EMBASSY SUITES SAN DIEGO BAY|601 PACIFIC HWY, SAN DIEGO, CA 92101|08-Feb-2017|NULL|NULL|30-Jan-2017|Routine|90|['Food Contact Surfaces']|['Holding Temperatures', 'Plumbing', 'Proper Handwashing Facilities', 'Wiping Cloths']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983169808
EMBASSY SUITES SAN DIEGO BAY|601 PACIFIC HWY, SAN DIEGO, CA 92101|08-Feb-2017|NULL|NULL|27-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983169808
EMBASSY SUITES SAN DIEGO BAY|601 PACIFIC HWY, SAN DIEGO, CA 92101|08-Feb-2017|NULL|NULL|27-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211983169808
EMERALD CHINESE SEAFOOD|3709 CONVOY ST, SAN DIEGO, CA 92111|13-Jun-2017|NULL|NULL|13-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899593349
EMERALD CHINESE SEAFOOD|3709 CONVOY ST, SAN DIEGO, CA 92111|13-Jun-2017|NULL|NULL|06-Jun-2017|Reinspection|Directed|['Holding Temps']|['Approved Equipment and Utensils']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899593349
EMERALD CHINESE SEAFOOD|3709 CONVOY ST, SAN DIEGO, CA 92111|13-Jun-2017|NULL|NULL|11-May-2017|Reinspection|Directed|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899593349
EMERALD EXPRESS T1W-1018|3665 N HARBOR DR, SAN DIEGO, CA 92101|19-Jan-2017|97|A|19-Jan-2017|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Holding Temperatures']|San Diego|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211995566534
