Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
4 WAY LIQUOR|500 W SAN MARCOS BLVD, SUITE# 100, SAN MARCOS, CA 92069|06-Mar-2017|100|NULL|06-Mar-2017|Routine|100|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211996114033
4 WAY LIQUOR|500 W SAN MARCOS BLVD, SUITE# 100, SAN MARCOS, CA 92069|06-Mar-2017|100|NULL|14-Jan-2016|Routine|100|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211996114033
4 WAY LIQUOR|500 W SAN MARCOS BLVD, SUITE# 100, SAN MARCOS, CA 92069|06-Mar-2017|100|NULL|21-Dec-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Hot and Cold Water']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211996114033
55 YARD LINE|1020 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|15-Dec-2016|96|A|15-Dec-2016|Routine|96|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840057
55 YARD LINE|1020 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|15-Dec-2016|96|A|15-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840057
55 YARD LINE|1020 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|15-Dec-2016|96|A|14-Apr-2016|Routine|94|No major violations observed|['Approved Equipment and Utensils', 'Food Handler Training', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Plumbing']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840057
55 YARD LINE|1020 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|15-Dec-2016|96|A|03-Aug-2015|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Food Separated and Protected']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840057
7-ELEVEN #16054G|1650 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|13-Jun-2017|93|A|13-Jun-2017|Routine|93|No major violations observed|['Floors, Walls, and Ceilings', 'Food Handler Training', 'Food Separated and Protected', 'Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767098
7-ELEVEN #16054G|1650 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|13-Jun-2017|93|A|03-Oct-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Food Separated and Protected']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767098
7-ELEVEN #16054G|1650 W SAN MARCOS BLVD, SAN MARCOS, CA 92069|13-Jun-2017|93|A|11-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898767098
7-ELEVEN #18977E-2111|578 E MISSION RD, SAN MARCOS, CA 92069|23-Feb-2017|99|A|23-Feb-2017|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211491
7-ELEVEN #18977E-2111|578 E MISSION RD, SAN MARCOS, CA 92069|23-Feb-2017|99|A|21-Apr-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211491
7-ELEVEN #18977E-2111|578 E MISSION RD, SAN MARCOS, CA 92069|23-Feb-2017|99|A|21-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211491
7-ELEVEN #18977E-2111|578 E MISSION RD, SAN MARCOS, CA 92069|23-Feb-2017|99|A|18-Aug-2015|Routine|96|No major violations observed|['Food Handler Training', 'Proper Handwashing Facilities']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899211491
7-ELEVEN #21142C|1531 W MISSION RD, SAN MARCOS, CA 92069|08-Feb-2017|96|A|08-Feb-2017|Routine|96|No major violations observed|['Food Contact Surfaces', 'Grade Card, Last Inspection Report, Permit Available', 'Premises, Vermin-proofing, Personal/Cleaning Items']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211977314016
7-ELEVEN #21142C|1531 W MISSION RD, SAN MARCOS, CA 92069|08-Feb-2017|96|A|30-Jun-2016|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211977314016
7-ELEVEN #21142C|1531 W MISSION RD, SAN MARCOS, CA 92069|08-Feb-2017|96|A|06-Oct-2015|Routine|97|No major violations observed|['Food Separated and Protected', 'Nonfood Contact Surfaces Clean', 'Plumbing']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211977314016
7-ELEVEN #33970B|405 N TWIN OAKS VALLEY RD, SAN MARCOS, CA 92069|10-Feb-2017|97|A|10-Feb-2017|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898389915
7-ELEVEN #33970B|405 N TWIN OAKS VALLEY RD, SAN MARCOS, CA 92069|10-Feb-2017|97|A|13-Apr-2016|Routine|100|No major violations observed|No minor violations observed|San Marcos|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898389915
