Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CALIFORNIA MOUNTAIN BAKERY|4367 HY 78, SANTA YSABEL, CA 92070|13-Apr-2017|NULL|NULL|13-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211994229491
CALIFORNIA MOUNTAIN BAKERY|4367 HY 78, SANTA YSABEL, CA 92070|13-Apr-2017|NULL|NULL|24-Feb-2017|Routine|96|No major violations observed|['Food Storage', 'Hot and Cold Water', 'Warewashing Facilities Maintained']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211994229491
CALIFORNIA MOUNTAIN BAKERY|4367 HY 78, SANTA YSABEL, CA 92070|13-Apr-2017|NULL|NULL|23-Sep-2016|Routine|99|No major violations observed|['Person in Charge']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211994229491
CAMP DENVER FOX CAMP|24102 HIGHWAY 76, SANTA YSABEL, CA 92070-9660|16-Feb-2017|100|A|16-Feb-2017|Routine|100|No major violations observed|No minor violations observed|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382235
CAMP DENVER FOX CAMP|24102 HIGHWAY 76, SANTA YSABEL, CA 92070-9660|16-Feb-2017|100|A|20-Jul-2016|Routine|98|No major violations observed|['Vermin']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382235
CAMP DENVER FOX CAMP|24102 HIGHWAY 76, SANTA YSABEL, CA 92070-9660|16-Feb-2017|100|A|18-Jun-2015|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382235
DONS MARKET|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|01-Jun-2017|Routine|99|No major violations observed|['Food Labeling']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911088
DONS MARKET|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|11-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911088
DONS MARKET|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|25-Jan-2017|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Safety Certification', 'Food Contact Surfaces']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911088
DUDLEYS BAKERY|30218 HY 78, SANTA YSABEL, CA 92070|24-Feb-2017|98|A|24-Feb-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534416
DUDLEYS BAKERY|30218 HY 78, SANTA YSABEL, CA 92070|24-Feb-2017|98|A|23-Sep-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534416
DUDLEYS BAKERY|30218 HY 78, SANTA YSABEL, CA 92070|24-Feb-2017|98|A|25-Feb-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Wiping Cloths']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534416
JEREMYS ON THE HILL|4354 HY 78, SANTA YSABEL, CA 92070|04-May-2017|96|A|04-May-2017|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898773545
JEREMYS ON THE HILL|4354 HY 78, SANTA YSABEL, CA 92070|04-May-2017|96|A|01-Nov-2016|Routine|98|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898773545
JEREMYS ON THE HILL|4354 HY 78, SANTA YSABEL, CA 92070|04-May-2017|96|A|22-Apr-2016|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898773545
JULIAN PIE CO|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|01-Jun-2017|Routine|99|No major violations observed|['Ventilation and Lighting']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898630028
JULIAN PIE CO|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|25-Jan-2017|Routine|99|No major violations observed|['Food Storage']|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898630028
JULIAN PIE CO|21976 HY 79, SANTA YSABEL, CA 92070|01-Jun-2017|99|A|14-Sep-2016|Routine|100|No major violations observed|No minor violations observed|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898630028
LAKE HENSHAW RESORT INC|26439 HY 76, SANTA YSABEL, CA 92070|15-Nov-2016|100|NULL|15-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Santa Ysabel|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898457236
