Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HOUR FITNESS #104|9906 MISSION GORGE RD, SANTEE, CA 92071|22-Nov-2016|100|NULL|22-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388298
24 HOUR FITNESS #104|9906 MISSION GORGE RD, SANTEE, CA 92071|22-Nov-2016|100|NULL|02-Dec-2015|Routine|98|No major violations observed|['Hot and Cold Water']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388298
24 HOUR FITNESS #104|9906 MISSION GORGE RD, SANTEE, CA 92071|22-Nov-2016|100|NULL|26-Nov-2014|Routine|100|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899388298
7-ELEVEN #13661C|9251 CARLTON HILLS BLVD, SANTEE, CA 92071|26-Jan-2017|NULL|NULL|26-Jan-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930343008
7-ELEVEN #13661C|9251 CARLTON HILLS BLVD, SANTEE, CA 92071|26-Jan-2017|NULL|NULL|11-Jan-2017|Routine|92|['Food Contact Surfaces']|['Food Handler Training', 'Food Safety Certification']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930343008
7-ELEVEN #13661C|9251 CARLTON HILLS BLVD, SANTEE, CA 92071|26-Jan-2017|NULL|NULL|28-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211930343008
7-ELEVEN #18469F-2121|10710 WOODSIDE AVE, SANTEE, CA 92071|08-Jul-2016|98|A|08-Jul-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898986285
7-ELEVEN #18469F-2121|10710 WOODSIDE AVE, SANTEE, CA 92071|08-Jul-2016|98|A|21-Sep-2015|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Wiping Cloths']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898986285
7-ELEVEN #18469F-2121|10710 WOODSIDE AVE, SANTEE, CA 92071|08-Jul-2016|98|A|02-Jan-2015|Routine|95|No major violations observed|['Proper Handwashing Facilities', 'Toilet Facilities', 'Time as Public Health Control']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898986285
7-ELEVEN #19006E|9111 MISSION GORGE RD, SANTEE, CA 92071|15-Feb-2017|98|A|15-Feb-2017|Routine|98|No major violations observed|['Food Handler Training']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986022677
7-ELEVEN #19006E|9111 MISSION GORGE RD, SANTEE, CA 92071|15-Feb-2017|98|A|08-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986022677
7-ELEVEN #20611C-2121|9805 PROSPECT AVE, SANTEE, CA 92071|05-Apr-2017|96|A|05-Apr-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Wiping Cloths']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627488
7-ELEVEN #20611C-2121|9805 PROSPECT AVE, SANTEE, CA 92071|05-Apr-2017|96|A|19-May-2016|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627488
7-ELEVEN #20611C-2121|9805 PROSPECT AVE, SANTEE, CA 92071|05-Apr-2017|96|A|10-Dec-2015|Routine|99|No major violations observed|['Thermometers']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898627488
7-ELEVEN #2121-20321D|9750 CUYAMACA ST, SANTEE, CA 92071|19-Apr-2017|92|A|19-Apr-2017|Routine|92|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities', 'Wiping Cloths']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899498881
7-ELEVEN #2121-20321D|9750 CUYAMACA ST, SANTEE, CA 92071|19-Apr-2017|92|A|19-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899498881
7-ELEVEN #2121-20321D|9750 CUYAMACA ST, SANTEE, CA 92071|19-Apr-2017|92|A|13-Jun-2016|Routine|96|No major violations observed|['Food Handler Training', 'Proper Handwashing Facilities']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899498881
7-ELEVEN #2121-20321D|9750 CUYAMACA ST, SANTEE, CA 92071|19-Apr-2017|92|A|23-Sep-2015|Routine|96|No major violations observed|['Floors, Walls, and Ceilings', 'Grade Card, Last Inspection Report, Permit Available', 'Proper Handwashing Facilities']|Santee|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899498881
