Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
ALFONSOS OF LA JOLLA|437 S HIGHWAY 101, SUITE# 301, SOLANA BEACH, CA 92075-2228|08-May-2017|95|A|08-May-2017|Routine|95|No major violations observed|['Food Contact Surfaces', 'Holding Temperatures', 'Ventilation and Lighting']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211999304178
ALFONSOS OF LA JOLLA|437 S HIGHWAY 101, SUITE# 301, SOLANA BEACH, CA 92075-2228|08-May-2017|95|A|30-Jun-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures', 'Wiping Cloths', 'Warewashing Facilities Maintained']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211999304178
ALFONSOS OF LA JOLLA|437 S HIGHWAY 101, SUITE# 301, SOLANA BEACH, CA 92075-2228|08-May-2017|95|A|10-Jun-2016|Routine|97|No major violations observed|['Hot and Cold Water', 'Plumbing']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211999304178
ANNIES CAFE AND DELI|524 STEVENS AVE, SOLANA BEACH, CA 92075|29-Nov-2016|NULL|NULL|29-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899337623
ANNIES CAFE AND DELI|524 STEVENS AVE, SOLANA BEACH, CA 92075|29-Nov-2016|NULL|NULL|23-Aug-2016|Routine|96|No major violations observed|['Food Safety Certification', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899337623
ANNIES CAFE AND DELI|524 STEVENS AVE, SOLANA BEACH, CA 92075|29-Nov-2016|NULL|NULL|18-Mar-2016|Routine|97|No major violations observed|['Food Storage', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899337623
ARCO AM PM|660 VIA DE LA VALLE, SOLANA BEACH, CA 92075|30-Mar-2017|97|A|30-Mar-2017|Routine|97|No major violations observed|['Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211926600771
BANGKOK BAY RESTAURANT|731 S HY 101, SOLANA BEACH, CA 92075|08-May-2017|92|A|08-May-2017|Routine|92|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Warewashing Facilities Maintained', 'Wiping Cloths']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899264658
BANGKOK BAY RESTAURANT|731 S HY 101, SOLANA BEACH, CA 92075|08-May-2017|92|A|01-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899264658
BANGKOK BAY RESTAURANT|731 S HY 101, SOLANA BEACH, CA 92075|08-May-2017|92|A|19-May-2016|Routine|90|['Holding Temps']|['Equipment and Utensil Storage, Use', 'Food Storage', 'Grade Card, Last Inspection Report, Permit Available', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Thawing Methods', 'Wiping Cloths']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899264658
BASKIN ROBBINS #03031|905 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Sep-2016|100|A|20-Sep-2016|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898454908
BASKIN ROBBINS #03031|905 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Sep-2016|100|A|28-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898454908
BASKIN ROBBINS #03031|905 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Sep-2016|100|A|17-Dec-2014|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898454908
BEACH GRASS CAFE|159 S HY 101, SOLANA BEACH, CA 92075|28-Mar-2017|95|A|28-Mar-2017|Routine|95|No major violations observed|['Food Contact Surfaces', 'Food Separated and Protected', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382758
BEACH GRASS CAFE|159 S HY 101, SOLANA BEACH, CA 92075|28-Mar-2017|95|A|02-May-2016|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Floors, Walls, and Ceilings', 'Holding Temperatures']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382758
BEACH GRASS CAFE|159 S HY 101, SOLANA BEACH, CA 92075|28-Mar-2017|95|A|13-Aug-2015|Routine|96|No major violations observed|['Equipment and Utensil Storage, Use', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Thawing Methods']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899382758
BELLY UP TAVERN|143 S CEDROS AVE, SOLANA BEACH, CA 92075|18-Nov-2016|96|A|18-Nov-2016|Routine|96|No major violations observed|['Food Separated and Protected', 'Proper Eating, Tasting, Drinking, or Tobacco Use', 'Wiping Cloths']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898895011
BELLY UP TAVERN|143 S CEDROS AVE, SOLANA BEACH, CA 92075|18-Nov-2016|96|A|10-Dec-2015|Routine|94|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities', 'Vermin']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898895011
BELLY UP TAVERN|143 S CEDROS AVE, SOLANA BEACH, CA 92075|18-Nov-2016|96|A|05-Feb-2015|Routine|95|No major violations observed|['Holding Temperatures', 'Hot and Cold Water', 'Wiping Cloths']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898895011
BEVERAGES & MORE #74|168 S SOLANA HILLS DR, SOLANA BEACH, CA 92075|21-Dec-2016|100|NULL|21-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916229
BEVERAGES & MORE #74|168 S SOLANA HILLS DR, SOLANA BEACH, CA 92075|21-Dec-2016|100|NULL|24-Nov-2015|Routine|98|No major violations observed|['Holding Temperatures']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916229
BEVERAGES & MORE #74|168 S SOLANA HILLS DR, SOLANA BEACH, CA 92075|21-Dec-2016|100|NULL|17-Dec-2014|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916229
BIG 5 SPORTING GOODS #223|949 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Dec-2016|100|NULL|20-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899385830
BIG 5 SPORTING GOODS #223|949 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Dec-2016|100|NULL|24-Nov-2015|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899385830
BIG 5 SPORTING GOODS #223|949 LOMAS SANTA FE DR, SOLANA BEACH, CA 92075|20-Dec-2016|100|NULL|17-Dec-2014|Routine|100|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899385830
BONGIORNOS NY PIZZERIA|524 STEVENS AVE, SOLANA BEACH, CA 92075|23-Aug-2016|95|A|23-Aug-2016|Routine|95|No major violations observed|['Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Vermin']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898743532
BONGIORNOS NY PIZZERIA|524 STEVENS AVE, SOLANA BEACH, CA 92075|23-Aug-2016|95|A|18-Mar-2016|Routine|98|No major violations observed|['Food Contact Surfaces']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898743532
BONGIORNOS NY PIZZERIA|524 STEVENS AVE, SOLANA BEACH, CA 92075|23-Aug-2016|95|A|15-Jul-2015|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898743532
BOTTLECRAFT SOLANA BEACH|437 S HIGHWAY 101, SUITE# 107, SOLANA BEACH, CA 92075-2228|02-Jun-2017|97|A|02-Jun-2017|Routine|97|No major violations observed|['Proper Handwashing Facilities', 'Warewashing Facilities Maintained']|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211929766962
BOTTLECRAFT SOLANA BEACH|437 S HIGHWAY 101, SUITE# 107, SOLANA BEACH, CA 92075-2228|02-Jun-2017|97|A|26-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Solana Beach|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211929766962
