Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
7-ELEVEN #15070F|10777 JAMACHA BLVD, SPRING VALLEY, CA 91978|22-Mar-2017|96|A|22-Mar-2017|Routine|96|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840007
7-ELEVEN #15070F|10777 JAMACHA BLVD, SPRING VALLEY, CA 91978|22-Mar-2017|96|A|11-Mar-2016|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840007
7-ELEVEN #15070F|10777 JAMACHA BLVD, SPRING VALLEY, CA 91978|22-Mar-2017|96|A|16-Jul-2015|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Warewashing Facilities Maintained']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898840007
7-ELEVEN #15944F|9365 JAMACHA BLVD, SPRING VALLEY, CA 91977|01-May-2017|92|A|01-May-2017|Routine|92|No major violations observed|['Food Safety Certification', 'Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510119
7-ELEVEN #15944F|9365 JAMACHA BLVD, SPRING VALLEY, CA 91977|01-May-2017|92|A|24-May-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510119
7-ELEVEN #15944F|9365 JAMACHA BLVD, SPRING VALLEY, CA 91977|01-May-2017|92|A|16-May-2016|Routine|90|No major violations observed|['Floors, Walls, and Ceilings', 'Food Handler Training', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Plumbing', 'Proper Handwashing Facilities', 'Storage of Toxic Substances']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898510119
7-ELEVEN #16498G|103 WORTHINGTON ST, SPRING VALLEY, CA 91977|07-Sep-2016|93|A|07-Sep-2016|Routine|93|No major violations observed|['Holding Temperatures', 'Hot and Cold Water', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211927225898
7-ELEVEN #16498G|103 WORTHINGTON ST, SPRING VALLEY, CA 91977|07-Sep-2016|93|A|07-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211927225898
7-ELEVEN #16498G|103 WORTHINGTON ST, SPRING VALLEY, CA 91977|07-Sep-2016|93|A|23-Nov-2015|Routine|91|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Food Handler Training', 'Holding Temperatures', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211927225898
7-ELEVEN #20508E|948 GRAND AVE, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|23-Mar-2017|Reinspection|Directed|No major violations observed|['Holding Temperatures']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412011
7-ELEVEN #20508E|948 GRAND AVE, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|17-Mar-2017|Routine|92|['Holding Temps']|['Proper Handwashing Facilities', 'Thermometers', 'Warewashing Facilities Maintained']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412011
7-ELEVEN #20508E|948 GRAND AVE, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|06-Jun-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412011
7-ELEVEN #2131-13575B|10049 CAMPO RD, SPRING VALLEY, CA 91977|13-Jun-2017|98|A|13-Jun-2017|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982189558
7-ELEVEN #2131-13575B|10049 CAMPO RD, SPRING VALLEY, CA 91977|13-Jun-2017|98|A|08-Sep-2016|Routine|97|No major violations observed|['Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982189558
7-ELEVEN #2131-13575B|10049 CAMPO RD, SPRING VALLEY, CA 91977|13-Jun-2017|98|A|18-Feb-2016|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982189558
7-ELEVEN #25807C-2131|1075 ELKELTON BLVD, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|23-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899585613
7-ELEVEN #25807C-2131|1075 ELKELTON BLVD, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|21-Mar-2017|Reinspection|Directed|['Holding Temps']|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899585613
7-ELEVEN #25807C-2131|1075 ELKELTON BLVD, SPRING VALLEY, CA 91977|23-Mar-2017|NULL|NULL|14-Mar-2017|Routine|90|['Holding Temps']|['Food Safety Certification', 'Food Handler Training', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899585613
7-ELEVEN STORE #13571E|2840 BANCROFT DR, SPRING VALLEY, CA 91977|25-May-2017|NULL|NULL|25-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211908702759
7-ELEVEN STORE #13571E|2840 BANCROFT DR, SPRING VALLEY, CA 91977|25-May-2017|NULL|NULL|12-May-2017|Routine|90|['Food Contact Surfaces']|['Holding Temperatures', 'Hot and Cold Water', 'Plumbing', 'Wiping Cloths']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211908702759
7-ELEVEN STORE #13571E|2840 BANCROFT DR, SPRING VALLEY, CA 91977|25-May-2017|NULL|NULL|24-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211908702759
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|95|A|19-May-2017|Routine|95|No major violations observed|['Equipment, Utensils, Linens Storage and Use', 'Proper Handwashing Facilities', 'Sewage Disposal']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116236
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|95|A|12-May-2017|Routine|Self Closed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116236
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|95|A|05-Mar-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899116236
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|NULL|NULL|19-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898219225
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|NULL|NULL|12-May-2017|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Plumbing', 'Warewashing Facilities Maintained']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898219225
A & D SALES|6377 QUARRY RD, SPRING VALLEY, CA 91977|19-May-2017|NULL|NULL|16-Apr-2017|Routine|95|No major violations observed|['Fruits and Vegetables Washed', 'Holding Temperatures', 'Hot and Cold Water']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898219225
A & D SALES #1|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|12-May-2017|Routine|99|No major violations observed|['Identification']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911713
A & D SALES #1|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|11-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911713
A & D SALES #1|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|28-Mar-2015|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898911713
A & D SALES #2|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|12-May-2017|Routine|99|No major violations observed|['Identification']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899590403
A & D SALES #2|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|11-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899590403
A & D SALES #2|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|28-Mar-2015|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899590403
A & D SALES #3|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|12-May-2017|Routine|99|No major violations observed|['Identification']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899188891
A & D SALES #3|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|11-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899188891
A & D SALES #3|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|28-Mar-2015|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899188891
A & D SALES #4|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|12-May-2017|Routine|99|No major violations observed|['Identification']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898416705
A & D SALES #4|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|11-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898416705
A & D SALES #4|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|28-Mar-2015|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898416705
A & D SALES #5|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|12-May-2017|Routine|99|No major violations observed|['Identification']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898680870
A & D SALES #5|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|11-Jun-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898680870
A & D SALES #5|6377 QUARRY RD, SPRING VALLEY, CA 91977|12-May-2017|99|NULL|28-Mar-2015|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898680870
A1 SPORTS BAR|10030 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|98|A|22-Mar-2017|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972402549
A1 SPORTS BAR|10030 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|98|A|19-Dec-2016|Routine|No Access|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972402549
A1 SPORTS BAR|10030 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|98|A|24-Feb-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972402549
A1 SPORTS BAR|10030 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|98|A|24-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211972402549
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|06-Feb-2017|Routine|96|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|06-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|06-Feb-2017|Routine|Complete|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|26-Jan-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|26-Jan-2016|Routine|Complete|No major violations observed|['Approved Equipment and Utensils', 'Holding Temperatures', 'Plumbing']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|30-Mar-2015|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Holding Temperatures']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS #723|9831 CAMPO RD, SPRING VALLEY, CA 91977|06-Feb-2017|96|A|30-Mar-2015|Routine|Complete|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960594444
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|30-May-2017|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|30-May-2017|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|30-May-2017|Routine|97|['Impoundment']|['Floors, Walls, and Ceilings', 'Holding Temperatures']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|27-May-2016|Routine|93|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|27-May-2016|Routine|Complete|No major violations observed|['Approved Equipment and Utensils', 'Nonfood Contact Surfaces Clean', 'Toilet Facilities']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|24-Jun-2015|Routine|91|No major violations observed|['Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Food Separated and Protected', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Sewage Disposal']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ALBERTSONS 758|543 SWEETWATER RD, SPRING VALLEY, CA 91977|30-May-2017|NULL|NULL|24-Jun-2015|Routine|Complete|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Plumbing', 'Proper Handwashing Facilities', 'Thermometers']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211942805178
ARCO AMPM|9065 CAMPO RD, SPRING VALLEY, CA 91977|06-Dec-2016|93|A|06-Dec-2016|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Equipment and Utensil Storage, Use', 'Holding Temperatures', 'Nonfood Contact Surfaces Clean', 'Sewage Disposal']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211958574771
ARCO AMPM|9065 CAMPO RD, SPRING VALLEY, CA 91977|06-Dec-2016|93|A|23-Nov-2015|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Holding Temperatures']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211958574771
AVONDALE ELEMENTARY|8401 STANSBURY ST, SPRING VALLEY, CA 91977|18-May-2017|98|A|18-May-2017|Routine|98|No major violations observed|['Vermin']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701468
AVONDALE ELEMENTARY|8401 STANSBURY ST, SPRING VALLEY, CA 91977|18-May-2017|98|A|26-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701468
AVONDALE ELEMENTARY|8401 STANSBURY ST, SPRING VALLEY, CA 91977|18-May-2017|98|A|13-Apr-2016|Routine|100|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898701468
BAGATELLE FRENCH BAKERY|9738 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|90|A|22-Mar-2017|Routine|90|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Protection From Contamination', 'Vermin']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412263
BAGATELLE FRENCH BAKERY|9738 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|90|A|21-Feb-2017|Routine|No Access|No major violations observed|No minor violations observed|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412263
BAGATELLE FRENCH BAKERY|9738 CAMPO RD, SPRING VALLEY, CA 91977|22-Mar-2017|90|A|19-Feb-2016|Routine|95|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Spring Valley|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412263
