Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
BATES NUT FARM INC|15954 WOODS VALLEY RD, VALLEY CENTER, CA 92082|14-Apr-2017|100|A|14-Apr-2017|Routine|100|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936145711
BATES NUT FARM INC|15954 WOODS VALLEY RD, VALLEY CENTER, CA 92082|14-Apr-2017|100|A|15-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936145711
BATES NUT FARM INC|15954 WOODS VALLEY RD, VALLEY CENTER, CA 92082|14-Apr-2017|100|A|12-Jul-2016|Routine|99|No major violations observed|['Wiping Cloths']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211936145711
BROKEN ROCK RANCH|29701 MACTAN RD, VALLEY CENTER, CA 92082|20-Jun-2017|98|A|20-Jun-2017|Routine|98|No major violations observed|['Vermin']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898687800
BROKEN ROCK RANCH|29701 MACTAN RD, VALLEY CENTER, CA 92082|20-Jun-2017|98|A|29-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898687800
BROKEN ROCK RANCH|29701 MACTAN RD, VALLEY CENTER, CA 92082|20-Jun-2017|98|A|26-Aug-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898687800
CASA REVELES RESTAURANT|29000 LILAC RD, VALLEY CENTER, CA 92082|30-May-2017|99|A|30-May-2017|Routine|99|No major violations observed|['Ventilation and Lighting']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898532652
CASA REVELES RESTAURANT|29000 LILAC RD, VALLEY CENTER, CA 92082|30-May-2017|99|A|13-Jan-2017|Routine|97|No major violations observed|['Approved Equipment and Utensils', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Plumbing']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898532652
CASA REVELES RESTAURANT|29000 LILAC RD, VALLEY CENTER, CA 92082|30-May-2017|99|A|13-Sep-2016|Routine|93|No major violations observed|['Approved Equipment and Utensils', 'Floors, Walls, and Ceilings', 'Hot and Cold Water', 'Holding Temperatures', 'Plumbing']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898532652
COUNTRY JUNCTION|29115 VALLEY CENTER RD, VALLEY CENTER, CA 92082|03-Mar-2017|99|A|03-Mar-2017|Routine|99|No major violations observed|['Storage of Toxic Substances']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899400550
COUNTRY JUNCTION|29115 VALLEY CENTER RD, VALLEY CENTER, CA 92082|03-Mar-2017|99|A|16-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899400550
COUNTRY JUNCTION|29115 VALLEY CENTER RD, VALLEY CENTER, CA 92082|03-Mar-2017|99|A|28-Oct-2016|Routine|98|No major violations observed|['Food Handler Training']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899400550
EL VALLE MARKET|27455 VALLEY CENTER RD, VALLEY CENTER, CA 92082|14-Apr-2017|96|A|14-Apr-2017|Routine|96|No major violations observed|['Approved Equipment and Utensils', 'Food Labeling', 'Holding Temperatures']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955354567
EL VALLE MARKET|27455 VALLEY CENTER RD, VALLEY CENTER, CA 92082|14-Apr-2017|96|A|15-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955354567
EL VALLE MARKET|27455 VALLEY CENTER RD, VALLEY CENTER, CA 92082|14-Apr-2017|96|A|09-Dec-2016|Routine|92|['Protection From Contamination']|['Approved Equipment and Utensils', 'Food Labeling', 'Proper Handwashing Facilities']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211955354567
FAT IVORS RIB RACK|27961 VALLEY CENTER RD, VALLEY CENTER, CA 92082|17-May-2017|97|A|17-May-2017|Routine|97|No major violations observed|['Holding Temperatures', 'Ventilation and Lighting']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899190222
FAT IVORS RIB RACK|27961 VALLEY CENTER RD, VALLEY CENTER, CA 92082|17-May-2017|97|A|28-Dec-2016|Routine|99|No major violations observed|['Ventilation and Lighting']|Valley Center|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899190222
