Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
24 HOUR FITNESS #868|324 SYCAMORE AVE, VISTA, CA 92083|19-Dec-2016|100|NULL|19-Dec-2016|Routine|100|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898550295
24 HOUR FITNESS #868|324 SYCAMORE AVE, VISTA, CA 92083|19-Dec-2016|100|NULL|18-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898550295
24 HOUR FITNESS #868|324 SYCAMORE AVE, VISTA, CA 92083|19-Dec-2016|100|NULL|07-Oct-2014|Routine|100|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898550295
3 PACOS CATERING|365 OLIVE AVE, VISTA, CA 92083-4915|09-Dec-2016|95|A|09-Dec-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Storage', 'Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Wiping Cloths']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211951237372
3 PACOS CATERING|365 OLIVE AVE, VISTA, CA 92083-4915|09-Dec-2016|95|A|22-Apr-2016|Routine|97|No major violations observed|['Equipment and Utensil Storage, Use', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211951237372
3 PACOS CATERING|365 OLIVE AVE, VISTA, CA 92083-4915|09-Dec-2016|95|A|07-Aug-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211951237372
508 TAVERN|508 S SANTA FE AVE, VISTA, CA 92084|02-Jun-2017|NULL|NULL|02-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211973722727
508 TAVERN|508 S SANTA FE AVE, VISTA, CA 92084|02-Jun-2017|NULL|NULL|24-May-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Thermometers', 'Wiping Cloths']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211973722727
508 TAVERN|508 S SANTA FE AVE, VISTA, CA 92084|02-Jun-2017|NULL|NULL|01-May-2017|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Plumbing']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211973722727
7-ELEVEN #15923|1501 N SANTA FE AVE, VISTA, CA 92084|14-Jun-2017|96|A|14-Jun-2017|Routine|96|No major violations observed|['Holding Temperatures', 'Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899381595
7-ELEVEN #15923|1501 N SANTA FE AVE, VISTA, CA 92084|14-Jun-2017|96|A|27-Sep-2016|Routine|98|No major violations observed|['Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899381595
7-ELEVEN #15923|1501 N SANTA FE AVE, VISTA, CA 92084|14-Jun-2017|96|A|18-Mar-2016|Routine|96|No major violations observed|['Proper Handwashing Facilities', 'Plumbing', 'Wiping Cloths']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899381595
7-ELEVEN #2111-13625G|470 N MELROSE DR, VISTA, CA 92083|31-Jan-2017|90|A|31-Jan-2017|Routine|90|No major violations observed|['Food Handler Training', 'Food Safety Certification', 'Holding Temperatures', 'Hot and Cold Water', 'Vermin']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916544720
7-ELEVEN #2111-13625G|470 N MELROSE DR, VISTA, CA 92083|31-Jan-2017|90|A|26-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916544720
7-ELEVEN #2111-13625G|470 N MELROSE DR, VISTA, CA 92083|31-Jan-2017|90|A|22-Apr-2016|Routine|91|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Safety Certification', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916544720
7-ELEVEN #2111-13625G|470 N MELROSE DR, VISTA, CA 92083|31-Jan-2017|90|A|22-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211916544720
7-ELEVEN #2111-24085D|900 N SANTA FE AVE, VISTA, CA 92083|06-Jun-2017|95|A|06-Jun-2017|Routine|95|No major violations observed|['Food Separated and Protected', 'Holding Temperatures', 'Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898839561
7-ELEVEN #2111-24085D|900 N SANTA FE AVE, VISTA, CA 92083|06-Jun-2017|95|A|12-Jul-2016|Routine|98|No major violations observed|['Food Storage', 'Thermometers']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898839561
7-ELEVEN #2111-24085D|900 N SANTA FE AVE, VISTA, CA 92083|06-Jun-2017|95|A|03-Feb-2016|Routine|98|No major violations observed|['Holding Temperatures']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898839561
7-ELEVEN #2111-24085D|900 N SANTA FE AVE, VISTA, CA 92083|06-Jun-2017|95|A|03-Feb-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898839561
7-ELEVEN #2112-23302C|895 E VISTA WAY, VISTA, CA 92084|23-Jan-2017|97|A|23-Jan-2017|Routine|97|No major violations observed|['Floors, Walls, and Ceilings', 'Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412026
7-ELEVEN #2112-23302C|895 E VISTA WAY, VISTA, CA 92084|23-Jan-2017|97|A|25-Apr-2016|Routine|99|No major violations observed|['Approved Equipment and Utensils']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412026
7-ELEVEN #2112-23302C|895 E VISTA WAY, VISTA, CA 92084|23-Jan-2017|97|A|08-Jul-2015|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898412026
7-ELEVEN #2112-34996A|902 S SANTA FE AVE, VISTA, CA 92084-6203|27-Feb-2017|97|A|27-Feb-2017|Routine|97|No major violations observed|['Food Separated and Protected', 'Plumbing', 'Wiping Cloths']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960602323
7-ELEVEN #2112-34996A|902 S SANTA FE AVE, VISTA, CA 92084-6203|27-Feb-2017|97|A|06-Jul-2016|Routine|96|No major violations observed|['Hot and Cold Water', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Plumbing']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960602323
7-ELEVEN #2112-34996A|902 S SANTA FE AVE, VISTA, CA 92084-6203|27-Feb-2017|97|A|08-Dec-2015|Routine|96|No major violations observed|['Consumer Self-Service', 'Food Separated and Protected', 'Plumbing', 'Toilet Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211960602323
7-ELEVEN #21795C|1595 E VISTA WAY, VISTA, CA 92084|12-Jan-2017|98|A|12-Jan-2017|Routine|98|No major violations observed|['Food Safety Certification']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898778576
7-ELEVEN #21795C|1595 E VISTA WAY, VISTA, CA 92084|12-Jan-2017|98|A|21-Jun-2016|Routine|95|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898778576
7-ELEVEN #21795C|1595 E VISTA WAY, VISTA, CA 92084|12-Jan-2017|98|A|21-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898778576
7-ELEVEN #21795C|1595 E VISTA WAY, VISTA, CA 92084|12-Jan-2017|98|A|15-Dec-2015|Routine|93|['Holding Temps', 'Impoundment']|['Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898778576
7-ELEVEN #32326A|3251 BUSINESS PARK DR, VISTA, CA 92081|07-Nov-2016|98|A|07-Nov-2016|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Plumbing']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534862
7-ELEVEN #32326A|3251 BUSINESS PARK DR, VISTA, CA 92081|07-Nov-2016|98|A|07-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534862
7-ELEVEN #32326A|3251 BUSINESS PARK DR, VISTA, CA 92081|07-Nov-2016|98|A|01-Dec-2015|Routine|95|No major violations observed|['Food Handler Training', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Vermin']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534862
7-ELEVEN #32326A|3251 BUSINESS PARK DR, VISTA, CA 92081|07-Nov-2016|98|A|11-Feb-2015|Routine|100|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899534862
7-ELEVEN #33160B|298 SYCAMORE AVE, VISTA, CA 92083|30-May-2017|93|A|30-May-2017|Routine|93|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Food Separated and Protected', 'Grade Card, Last Inspection Report, Permit Available', 'Plumbing', 'Vermin']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850433
7-ELEVEN #33160B|298 SYCAMORE AVE, VISTA, CA 92083|30-May-2017|93|A|21-Sep-2016|Routine|97|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Plumbing']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850433
7-ELEVEN #33160B|298 SYCAMORE AVE, VISTA, CA 92083|30-May-2017|93|A|11-Jan-2016|Routine|96|No major violations observed|['Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Plumbing', 'Thermometers']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898850433
7-ELEVEN #33376B-2111|1610 S MELROSE DR, VISTA, CA 92083|10-Feb-2017|NULL|NULL|10-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898682584
7-ELEVEN #33376B-2111|1610 S MELROSE DR, VISTA, CA 92083|10-Feb-2017|NULL|NULL|23-Dec-2016|Routine|94|No major violations observed|['Food Handler Training', 'Floors, Walls, and Ceilings', 'Proper Handwashing Facilities', 'Ventilation and Lighting']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898682584
7-ELEVEN #33376B-2111|1610 S MELROSE DR, VISTA, CA 92083|10-Feb-2017|NULL|NULL|23-Dec-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898682584
7-ELEVEN #33376B-2111|1610 S MELROSE DR, VISTA, CA 92083|10-Feb-2017|NULL|NULL|04-Feb-2016|Routine|98|No major violations observed|['Food Safety Certification']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898682584
99 CENTS ONLY STORE #244|705 E VISTA WAY, VISTA, CA 92084|29-Dec-2016|98|NULL|29-Dec-2016|Routine|98|No major violations observed|['Hot and Cold Water']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899115321
99 CENTS ONLY STORE #244|705 E VISTA WAY, VISTA, CA 92084|29-Dec-2016|98|NULL|30-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899115321
99 CENTS ONLY STORE #244|705 E VISTA WAY, VISTA, CA 92084|29-Dec-2016|98|NULL|15-Dec-2014|Routine|96|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Grade Card, Last Inspection Report, Permit Available', 'Toilet Facilities']|Vista|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899115321
