Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|13-Jul-2016|Routine|100|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|13-Jul-2016|Routine|96|No major violations observed|['Food Contact Surfaces', 'Vermin']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|09-Jun-2015|Routine|100|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|09-Jun-2015|Routine|98|No major violations observed|['Vermin']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|19-Jun-2014|Routine|99|No major violations observed|['Plumbing']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|19-Jun-2014|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Vermin', 'Warewashing Facilities Maintained']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
BOY SCOUTS OF AMERICA|31422 CHIHUAHUA VALLEY RD, WARNER SPRINGS, CA 92086-9302|13-Jul-2016|NULL|NULL|19-Jun-2014|Routine|Self Closed|No major violations observed|['Protection From Contamination']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898841646
COUNTY LINE BBQ AND CAFE|23446 SR-79, WARNER SPRINGS, CA 92086|13-Apr-2017|NULL|NULL|13-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940681579
COUNTY LINE BBQ AND CAFE|23446 SR-79, WARNER SPRINGS, CA 92086|13-Apr-2017|NULL|NULL|06-Apr-2017|Routine|97|No major violations observed|['Nonfood Contact Surfaces Clean', 'Plumbing', 'Thawing Methods']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940681579
COUNTY LINE BBQ AND CAFE|23446 SR-79, WARNER SPRINGS, CA 92086|13-Apr-2017|NULL|NULL|18-Nov-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211940681579
HILL SPRINGS FARMS LLC|38642 HIGHWAY 79, WARNER SPRINGS, CA 92086-9274|18-Nov-2016|NULL|NULL|18-Nov-2016|Routine|98|No major violations observed|['Sewage Disposal']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907685565
HILL SPRINGS FARMS LLC|38642 HIGHWAY 79, WARNER SPRINGS, CA 92086-9274|18-Nov-2016|NULL|NULL|18-Nov-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907685565
HILL SPRINGS FARMS LLC|38642 HIGHWAY 79, WARNER SPRINGS, CA 92086-9274|18-Nov-2016|NULL|NULL|06-Nov-2015|Routine|100|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211907685565
NARCONON DRUG REHAB|35025 SR-79, WARNER SPRINGS, CA 92086|31-Jan-2017|98|A|31-Jan-2017|Routine|98|No major violations observed|['Approved Equipment and Utensils', 'Warewashing Facilities Maintained']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898548485
NARCONON DRUG REHAB|35025 SR-79, WARNER SPRINGS, CA 92086|31-Jan-2017|98|A|28-Jun-2016|Reinspection|Directed|No major violations observed|['Vermin']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898548485
NARCONON DRUG REHAB|35025 SR-79, WARNER SPRINGS, CA 92086|31-Jan-2017|98|A|24-Jun-2016|Routine|90|['Vermin']|['Floors, Walls, and Ceilings', 'Holding Temperatures', 'Proper Handwashing Facilities', 'Wiping Cloths']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898548485
RD'S LOG CABIN|26650 SAN FELIPE RD, WARNER SPRINGS, CA 92086|02-Feb-2017|NULL|NULL|02-Feb-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313567
RD'S LOG CABIN|26650 SAN FELIPE RD, WARNER SPRINGS, CA 92086|02-Feb-2017|NULL|NULL|18-Oct-2016|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Hot and Cold Water', 'Vermin']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313567
RD'S LOG CABIN|26650 SAN FELIPE RD, WARNER SPRINGS, CA 92086|02-Feb-2017|NULL|NULL|09-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313567
SUNSHINE SUMMIT MARKET AND GAS|35230 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|NULL|NULL|06-Apr-2017|Routine|Complete|No major violations observed|['Toilet Facilities']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986210622
SUNSHINE SUMMIT MARKET AND GAS|35230 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|NULL|NULL|18-Oct-2016|Routine|99|No major violations observed|['Toilet Facilities']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986210622
SUNSHINE SUMMIT MARKET AND GAS|35230 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|NULL|NULL|13-Apr-2016|Routine|96|No major violations observed|['Hot and Cold Water', 'Proper Handwashing Facilities']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211986210622
WARNER SPRINGS RANCH RESORT MARKET AND GAS STATION|31652 HWY 79, SUITE# A, WARNER SPRINGS, CA 92086|03-May-2017|96|A|03-May-2017|Routine|96|No major violations observed|['Proper Handwashing Facilities', 'Plumbing', 'Warewashing Facilities Maintained']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211924265392
WARNER SPRINGS RESORT GOLF GRILL|31652 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|96|A|06-Apr-2017|Routine|96|No major violations observed|['Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Ventilation and Lighting']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938096015
WARNER SPRINGS RESORT GOLF GRILL|31652 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|96|A|07-Mar-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938096015
WARNER SPRINGS RESORT GOLF GRILL|31652 HY 79, WARNER SPRINGS, CA 92086|06-Apr-2017|96|A|18-Nov-2016|Routine|93|No major violations observed|['Food Contact Surfaces', 'Fruits and Vegetables Washed', 'Holding Temperatures', 'Thawing Methods', 'Ventilation and Lighting']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211938096015
WARNER UNION SCHOOL|30951 HY 79, WARNER SPRINGS, CA 92086|07-Mar-2017|NULL|NULL|07-Mar-2017|Routine|100|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899235744
WARNER UNION SCHOOL|30951 HY 79, WARNER SPRINGS, CA 92086|07-Mar-2017|NULL|NULL|07-Mar-2017|Routine|98|No major violations observed|['Vermin']|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899235744
WARNER UNION SCHOOL|30951 HY 79, WARNER SPRINGS, CA 92086|07-Mar-2017|NULL|NULL|18-Oct-2016|Routine|100|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899235744
WARNER UNION SCHOOL|30951 HY 79, WARNER SPRINGS, CA 92086|07-Mar-2017|NULL|NULL|13-Apr-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Warner Springs|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899235744
